MF Code,incept_date,schemecode,sdx_returns,sharpex_returns,sotinox_returns,betax_returns,alphax_returns,treynorx_returns,sdy_returns,sharpey_returns,sotinoy_returns,betay_returns,alphay_returns,treynory_returns,rank_sd,rank_sharpe,rank_sotino,rank_beta,rank_alpha,rank_treynor,index_name,s_name,avg_std_dev,avg_sharpe,avg_sotino,avg_beta,avg_alpha,avg_treyno,no_of_funds_total
UTI Overnight Fund-Reg(G),2003-12-09,3574,0.01,209.79,13.15,0.0,1.74,29620.81,0.0,13.22,0.83,0.0,0.01,117.54,2,3,11,25,14,10,CRISIL Liquid Overnight Index,UTI Overnight Fund-Reg(G),0.04,130.22,16.28,0.0,1.88,15979.3,32
ICICI Pru Midcap Fund(G),2004-10-28,1499,16.04,3.03,4.39,0.93,30.62,52.47,1.01,0.19,0.28,0.93,0.12,0.21,24,5,6,21,4,6,Nifty Midcap 150 - TRI,ICICI Pru Midcap Fund(G),15.22,2.82,4.14,0.88,25.85,48.65,30
Kotak Banking and PSU Debt Fund(G),1998-12-29,2044,1.03,4.08,7.02,0.11,3.83,37.93,0.06,0.26,0.44,0.11,0.02,0.15,23,21,21,24,13,24,CRISIL Banking and PSU Debt Index,Kotak Banking and PSU Debt Fund(G),0.78,5.39,9.93,0.08,3.74,76.05,26
HSBC Corporate Bond Fund-Reg(G),1997-03-31,631,1.08,3.24,5.38,0.1,3.18,33.87,0.07,0.2,0.34,0.1,0.01,0.13,21,21,21,21,21,21,NIFTY Corporate Bond Index,HSBC Corporate Bond Fund-Reg(G),0.79,5.23,9.13,0.08,3.79,56.06,21
PGIM India Flexi Cap Fund-Reg(G),2015-03-04,31642,12.01,1.73,2.62,0.84,4.46,24.67,0.76,0.11,0.17,0.84,0.02,0.1,7,39,40,10,40,41,NIFTY 500 - TRI,PGIM India Flexi Cap Fund-Reg(G),13.55,2.43,3.62,0.92,15.34,35.98,41
Edelweiss Mid Cap Fund-Reg(G),2007-12-26,3790,15.76,2.84,4.12,0.9,27.34,49.77,0.99,0.18,0.26,0.9,0.11,0.2,20,20,19,18,11,13,Nifty Midcap 150 - TRI,Edelweiss Mid Cap Fund-Reg(G),15.22,2.82,4.14,0.88,25.85,48.65,30
Nippon India Low Duration Fund(G),2007-03-20,2621,0.33,12.76,25.26,0.01,4.16,395.77,0.02,0.8,1.59,0.01,0.02,1.57,6,11,8,6,12,7,CRISIL Low Duration Debt Index,Nippon India Low Duration Fund(G),0.34,12.74,25.01,0.01,4.25,355.41,20
Aditya Birla SL Pure Value Fund(G),2008-03-27,4453,17.28,2.34,3.23,1.11,18.87,36.36,1.09,0.15,0.2,1.11,0.07,0.14,20,21,20,20,12,19,NIFTY 500 - TRI,Aditya Birla SL Pure Value Fund(G),14.66,2.73,4.02,0.97,21.01,41.19,22
Kotak ELSS Tax Saver Fund(G),2005-11-23,2075,14.21,2.5,3.57,0.97,16.63,36.54,0.89,0.16,0.22,0.97,0.07,0.14,39,21,27,47,30,32,NIFTY 500 - TRI,Kotak ELSS Tax Saver Fund(G),13.47,2.44,3.64,0.88,15.78,37.67,59
Aditya Birla SL Equity Advantage Fund(G),1995-02-24,277,14.48,2.09,2.92,0.98,11.29,30.95,0.91,0.13,0.18,0.98,0.04,0.12,19,25,26,22,24,25,NIFTY LargeMidcap 250 - TRI,Aditya Birla SL Equity Advantage Fund(G),14.14,2.59,3.77,0.92,18.57,39.45,26
Kotak Nifty Bank ETF,2014-12-04,30020,16.43,0.73,1.1,1.13,-8.34,10.61,1.03,0.05,0.07,1.13,-0.03,0.04,94,119,119,117,123,119,NIFTY BANK - TRI,Kotak Nifty Bank ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
Nippon India Power & Infra Fund(G),2004-05-08,2452,17.95,3.33,4.68,1.08,38.78,55.31,1.13,0.21,0.29,1.08,0.15,0.22,1,1,1,2,1,1,Nifty Infrastructure - TRI,Nippon India Power & Infra Fund(G),18.93,2.58,3.68,1.15,26.34,44.32,3
BHARAT Bond ETF - April 2033,2022-12-13,47283,1.65,2.54,4.11,0.16,3.75,26.36,0.1,0.16,0.26,0.16,0.01,0.1,13,12,13,11,5,10,NIFTY BHARAT Bond Index - April 2033,BHARAT Bond ETF - April 2033,1.28,6.42,10.5,0.21,3.44,729.47,17
Sundaram Liquid Fund(G),2004-08-30,2323,0.07,29.43,14.99,0.0,2.04,-9542.53,0.0,1.85,0.94,0.0,0.01,-37.87,16,14,19,2,25,29,Nifty Liquid Fund Index,Sundaram Liquid Fund(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
Nippon India Banking & PSU Debt Fund(G),2015-05-15,13656,0.84,4.66,8.11,0.08,3.68,47.6,0.05,0.29,0.51,0.08,0.01,0.19,19,19,19,20,16,19,CRISIL Banking and PSU Debt Index,Nippon India Banking & PSU Debt Fund(G),0.78,5.39,9.93,0.08,3.74,76.05,26
Kotak Equity Hybrid Fund(G),2014-11-03,31224,10.01,2.62,3.76,0.51,24.62,51.74,0.63,0.17,0.24,0.51,0.1,0.21,42,27,31,51,12,41,NIFTY 50 Hybrid Composite Debt 65:35 Index,Kotak Equity Hybrid Fund(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Kotak Equity Savings Fund(G),2014-10-13,30690,5.44,2.95,4.22,0.16,15.57,100.65,0.34,0.19,0.27,0.16,0.06,0.4,19,17,20,11,31,5,NIFTY 50 Equity Savings Index - TRI,Kotak Equity Savings Fund(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Aditya Birla SL Multi-Cap Fund-Reg(G),2021-05-07,45476,13.2,2.47,3.62,0.89,15.35,36.67,0.83,0.16,0.23,0.89,0.06,0.15,14,20,19,16,22,23,Nifty500 Multicap 50:25:25 - TRI,Aditya Birla SL Multi-Cap Fund-Reg(G),13.67,2.56,3.79,0.9,17.47,38.98,33
SBI ESG Exclusionary Strategy Fund-Reg(G),1991-01-01,2752,11.95,2.17,3.38,0.87,9.12,29.84,0.75,0.14,0.21,0.87,0.04,0.12,16,35,33,21,44,44,NIFTY100 ESG - TRI,SBI ESG Exclusionary Strategy Fund-Reg(G),14.83,2.6,3.92,0.92,20.6,41.25,46
UTI Aggressive Hybrid Fund-Reg(G),1995-01-02,3437,9.62,2.84,4.29,0.42,26.03,65.17,0.61,0.18,0.27,0.42,0.1,0.26,34,21,19,42,9,21,CRISIL Hybrid 35+65 - Aggressive Index,UTI Aggressive Hybrid Fund-Reg(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Nippon India Short Term Fund(G),2002-12-18,2664,0.71,5.8,10.66,0.07,3.91,58.19,0.04,0.37,0.67,0.07,0.02,0.23,8,5,5,6,5,2,CRISIL Short Duration Debt Index,Nippon India Short Term Fund(G),0.75,5.09,8.81,0.08,3.48,283.0,26
Axis Multicap Fund-Reg(G),2021-12-17,45362,13.6,3.02,4.5,0.88,24.12,46.92,0.86,0.19,0.28,0.88,0.1,0.19,18,5,5,13,4,5,Nifty500 Multicap 50:25:25 - TRI,Axis Multicap Fund-Reg(G),13.67,2.56,3.79,0.9,17.47,38.98,33
Kotak Overnight Fund-Reg(G),2019-01-15,41944,0.14,18.94,24.49,0.0,2.62,7159.22,0.01,1.19,1.54,0.0,0.01,28.41,31,31,7,32,3,24,Nifty 1D Rate Index,Kotak Overnight Fund-Reg(G),0.04,130.22,16.28,0.0,1.88,15979.3,32
Axis Treasury Advantage Fund-Reg(G),2009-10-09,8032,0.34,13.12,25.02,0.01,4.41,299.2,0.02,0.83,1.58,0.01,0.02,1.19,11,6,11,14,5,13,NIFTY Low Duration Debt Index,Axis Treasury Advantage Fund-Reg(G),0.34,12.74,25.01,0.01,4.25,355.41,20
Nippon India Banking & Financial Services Fund(G),2003-05-26,2445,14.67,1.47,2.2,1.02,1.71,21.04,0.92,0.09,0.14,1.02,0.01,0.08,2,4,4,4,4,4,Nifty Financial Services - TRI,Nippon India Banking & Financial Services Fund(G),15.47,1.37,2.01,1.06,0.57,19.95,15
HSBC Aggressive Hybrid Fund-Reg(G),2011-02-07,13017,12.73,2.22,3.02,0.58,26.38,48.54,0.8,0.14,0.19,0.58,0.1,0.19,52,44,46,54,8,45,NIFTY 50 Hybrid Composite Debt 65:35 Index,HSBC Aggressive Hybrid Fund-Reg(G),7.39,2.59,3.98,0.33,18.79,66.11,52
SBI Banking & Financial Services Fund-Reg(G),2015-02-26,30125,15.87,1.69,2.47,1.09,5.64,24.57,1.0,0.11,0.16,1.09,0.02,0.1,10,3,3,10,3,3,Nifty Financial Services - TRI,SBI Banking & Financial Services Fund-Reg(G),15.47,1.37,2.01,1.06,0.57,19.95,15
Aditya Birla SL Midcap Fund(G),2002-10-03,417,14.45,2.84,4.21,0.85,24.67,48.54,0.91,0.18,0.27,0.85,0.1,0.19,12,19,17,12,21,21,Nifty Midcap 150 - TRI,Aditya Birla SL Midcap Fund(G),15.22,2.82,4.14,0.88,25.85,48.65,30
UTI ULIP(G),1971-10-01,3662,4.54,2.01,3.45,0.31,8.16,29.74,0.29,0.13,0.22,0.31,0.03,0.12,1,1,1,1,1,1,NIFTY 50 Hybrid Composite Debt 50:50 Index,UTI ULIP(G),4.54,2.01,3.45,0.31,8.16,29.74,1
ICICI Pru Nifty Next 50 Index Fund(G),2010-06-25,11889,18.22,2.76,3.97,1.1,29.08,45.89,1.15,0.17,0.25,1.1,0.12,0.18,67,21,21,75,21,33,NIFTY NEXT 50 - TRI,ICICI Pru Nifty Next 50 Index Fund(G),15.55,2.33,3.49,0.99,17.73,37.71,95
Axis Corp Debt Fund-Reg(G),2017-07-13,36744,0.81,5.09,8.53,0.09,3.88,48.64,0.05,0.32,0.54,0.09,0.02,0.19,12,13,15,14,10,10,NIFTY Corporate Bond Index,Axis Corp Debt Fund-Reg(G),0.79,5.23,9.13,0.08,3.79,56.06,21
Invesco India Large & Mid Cap Fund(G),2007-08-09,2235,13.54,3.1,4.72,0.87,25.05,48.06,0.85,0.2,0.3,0.87,0.1,0.19,9,3,2,8,4,3,NIFTY LargeMidcap 250 - TRI,Invesco India Large & Mid Cap Fund(G),14.14,2.59,3.77,0.92,18.57,39.45,26
UTI Arbitrage Fund-Reg(G),2006-06-29,3660,0.99,5.21,10.85,0.01,5.14,807.43,0.06,0.33,0.68,0.01,0.02,3.2,17,11,11,21,2,11,Nifty 50 Arbitrage,UTI Arbitrage Fund-Reg(G),0.97,5.02,10.54,-0.01,4.87,955.96,24
DSP Arbitrage Fund-Reg(G),2018-01-25,30760,1.02,4.82,9.8,0.0,4.89,1279.71,0.06,0.3,0.62,0.0,0.02,5.08,21,19,20,17,18,6,Nifty 50 Arbitrage,DSP Arbitrage Fund-Reg(G),0.97,5.02,10.54,-0.01,4.87,955.96,24
Axis India Manufacturing Fund-Reg(G),2023-12-21,48253,,,,,,,,,,,,,,,,,,,Nifty India Manufacturing - TRI,Axis India Manufacturing Fund-Reg(G),14.83,2.6,3.92,0.92,20.6,41.25,46
ICICI Pru Innovation Fund-Reg(G),2023-04-28,47918,10.95,4.29,6.75,0.7,33.39,67.16,0.69,0.27,0.43,0.7,0.13,0.27,5,1,1,5,7,2,NIFTY 500 - TRI,ICICI Pru Innovation Fund-Reg(G),14.83,2.6,3.92,0.92,20.6,41.25,46
Bandhan Small Cap Fund-Reg(G),2020-02-25,42342,16.38,3.32,4.64,0.86,37.6,62.87,1.03,0.21,0.29,0.86,0.15,0.25,21,1,1,21,1,1,BSE 250 Small Cap - TRI,Bandhan Small Cap Fund-Reg(G),15.05,2.66,3.8,0.79,24.98,51.05,24
HDFC Retirement Savings Fund-Equity Plan-Reg(G),2016-02-25,24803,11.63,2.71,4.0,0.43,30.09,73.23,0.73,0.17,0.25,0.43,0.12,0.29,27,14,15,20,7,8,NIFTY 500 - TRI,HDFC Retirement Savings Fund-Equity Plan-Reg(G),8.75,2.57,3.95,0.85,20.29,58.89,38
Axis Ultra Short Term Fund-Reg(G),2018-09-10,29356,0.29,14.14,29.53,0.0,4.06,2092.81,0.02,0.89,1.86,0.0,0.02,8.3,11,14,14,16,15,18,NIFTY Ultra Short Duration Debt Index,Axis Ultra Short Term Fund-Reg(G),0.29,14.25,29.65,0.0,4.17,3126.09,24
HDFC Dividend Yield Fund-Reg(G),2020-12-18,45197,14.72,2.56,3.7,1.02,17.94,36.94,0.93,0.16,0.23,1.02,0.07,0.15,4,7,7,7,6,6,NIFTY 500 - TRI,HDFC Dividend Yield Fund-Reg(G),14.48,2.72,3.98,0.96,20.45,40.76,9
Edelweiss Liquid Fund-Reg(G),2008-09-16,6688,0.07,29.56,14.76,0.0,2.02,4494.67,0.0,1.86,0.93,0.0,0.01,17.84,11,13,34,29,33,24,CRISIL Liquid Debt Index,Edelweiss Liquid Fund-Reg(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
Bandhan Money Manager Fund-Reg(G),2003-02-18,1052,0.29,13.87,28.91,0.0,4.06,2521.11,0.02,0.87,1.82,0.0,0.02,10.0,3,18,19,11,19,11,Nifty Money Market Index,Bandhan Money Manager Fund-Reg(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
Bandhan Low Duration Fund-Reg(G),2006-01-17,2902,0.35,12.32,26.15,0.02,4.21,238.67,0.02,0.78,1.65,0.02,0.02,0.95,15,16,5,20,9,19,NIFTY Low Duration Debt Index,Bandhan Low Duration Fund-Reg(G),0.34,12.74,25.01,0.01,4.25,355.41,20
ICICI Pru Infrastructure Fund(G),2005-08-31,1629,16.87,3.1,4.38,1.08,31.42,48.59,1.06,0.2,0.28,1.08,0.12,0.19,4,7,4,9,12,13,BSE India Infrastructure Index - TRI,ICICI Pru Infrastructure Fund(G),18.27,2.97,4.14,1.08,33.24,50.51,19
Aditya Birla SL India GenNext Fund(G),2005-08-05,409,10.76,2.6,4.63,0.7,14.54,40.27,0.68,0.16,0.29,0.7,0.06,0.16,4,11,10,11,12,12,Nifty India Consumption - TRI,Aditya Birla SL India GenNext Fund(G),11.17,2.69,4.77,0.62,17.98,48.63,13
Bandhan CRISIL IBX Gilt April 2028 Index Fund-Reg(G),2021-03-23,45422,1.32,2.94,5.21,0.16,3.38,24.09,0.08,0.19,0.33,0.16,0.01,0.1,9,8,8,9,25,8,CRISIL IBX Gilt Index - April 2028,Bandhan CRISIL IBX Gilt April 2028 Index Fund-Reg(G),2.07,2.34,4.22,0.24,3.62,20.61,35
BHARAT Bond FOF - April 2025 -Reg(G),2020-07-23,45009,1.4,3.27,6.82,0.04,4.44,128.7,0.09,0.21,0.43,0.04,0.02,0.51,4,13,5,1,44,3,NIFTY BHARAT Bond Index - April 2025,BHARAT Bond FOF - April 2025 -Reg(G),8.71,2.66,4.36,0.46,19.3,63.9,53
HDFC Gold ETF,2010-08-13,12319,11.18,1.33,2.35,0.22,14.29,67.59,0.7,0.08,0.15,0.22,0.06,0.27,9,12,12,1,15,1,Gold-India,HDFC Gold ETF,15.57,1.15,2.03,0.62,14.46,42.92,22
SBI Multi Asset Allocation Fund-Reg(G),2005-11-30,2796,7.82,3.11,4.97,0.22,23.64,109.34,0.49,0.2,0.31,0.22,0.09,0.43,5,4,4,1,7,1,BSE 500 - TRI,SBI Multi Asset Allocation Fund-Reg(G),8.58,2.8,4.31,1.23,22.73,69.73,13
Axis Arbitrage Fund-Reg(G),2014-08-14,30097,0.91,5.46,11.66,-0.01,4.99,-858.06,0.06,0.34,0.73,-0.01,0.02,-3.4,2,2,4,4,13,18,Nifty 50 Arbitrage,Axis Arbitrage Fund-Reg(G),0.97,5.02,10.54,-0.01,4.87,955.96,24
ICICI Pru Gold ETF,2010-08-24,12328,10.79,1.44,2.54,0.26,14.84,60.68,0.68,0.09,0.16,0.26,0.06,0.24,6,5,6,10,5,8,Gold-India,ICICI Pru Gold ETF,15.57,1.15,2.03,0.62,14.46,42.92,22
ICICI Pru Manufacturing Fund(G),2018-10-11,32077,14.44,3.66,5.45,0.93,34.73,56.65,0.91,0.23,0.34,0.93,0.14,0.22,29,3,3,27,6,4,Nifty India Manufacturing - TRI,ICICI Pru Manufacturing Fund(G),14.83,2.6,3.92,0.92,20.6,41.25,46
Aditya Birla SL Small Cap Fund(G),2007-05-31,477,15.26,2.43,3.45,0.82,21.24,45.31,0.96,0.15,0.22,0.82,0.08,0.18,16,18,20,19,17,21,BSE 250 Small Cap - TRI,Aditya Birla SL Small Cap Fund(G),15.05,2.66,3.8,0.79,24.98,51.05,24
HSBC Banking and PSU Debt Fund-Reg(G),2007-09-20,916,0.64,5.76,10.46,0.07,3.5,56.4,0.04,0.36,0.66,0.07,0.01,0.22,6,9,11,9,22,13,NIFTY Banking and PSU Debt Index,HSBC Banking and PSU Debt Fund-Reg(G),0.78,5.39,9.93,0.08,3.74,76.05,26
Aditya Birla SL PSU Equity Fund-Reg(G),2019-12-30,43788,26.06,2.66,3.62,1.47,40.8,47.12,1.64,0.17,0.23,1.47,0.16,0.19,44,19,26,46,4,11,BSE PSU - TRI,Aditya Birla SL PSU Equity Fund-Reg(G),14.83,2.6,3.92,0.92,20.6,41.25,46
SBI Gold ETF,2009-05-18,7741,10.89,1.39,2.42,0.27,14.41,56.15,0.69,0.09,0.15,0.27,0.06,0.22,7,7,10,12,12,12,Gold-India,SBI Gold ETF,15.57,1.15,2.03,0.62,14.46,42.92,22
SBI Equity Savings Fund-Reg(G),2015-05-27,32901,4.76,3.17,4.8,0.2,14.46,75.6,0.3,0.2,0.3,0.2,0.06,0.3,16,8,11,15,34,12,NIFTY 50 Equity Savings Index,SBI Equity Savings Fund-Reg(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Bandhan Core Equity Fund-Reg(G),2005-08-09,2858,14.31,3.12,4.43,0.93,26.59,47.93,0.9,0.2,0.28,0.93,0.11,0.19,16,1,4,11,2,4,NIFTY LargeMidcap 250 - TRI,Bandhan Core Equity Fund-Reg(G),14.14,2.59,3.77,0.92,18.57,39.45,26
Motilal Oswal Nasdaq 100 FOF-Reg(G),2018-11-29,41322,13.49,2.16,4.21,0.71,26.84,40.87,0.85,0.14,0.26,0.71,0.11,0.16,18,4,2,50,16,27,Nasdaq-100,Motilal Oswal Nasdaq 100 FOF-Reg(G),15.38,1.08,1.93,0.46,14.04,55.96,56
Nippon India Vision Fund(G),1995-10-08,2669,14.09,2.87,4.21,0.95,21.97,42.44,0.89,0.18,0.27,0.95,0.09,0.17,13,6,6,15,6,8,NIFTY LargeMidcap 250 - TRI,Nippon India Vision Fund(G),14.14,2.59,3.77,0.92,18.57,39.45,26
Sundaram Aggressive Hybrid Fund(G),2000-01-14,2321,9.32,2.45,3.68,0.39,21.57,58.11,0.59,0.15,0.23,0.39,0.09,0.23,30,33,34,33,19,34,CRISIL Hybrid 35+65 - Aggressive Index,Sundaram Aggressive Hybrid Fund(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Invesco India Midcap Fund(G),2007-04-19,2259,14.39,2.96,4.59,0.81,26.91,52.47,0.91,0.19,0.29,0.81,0.11,0.21,9,8,2,6,13,7,BSE 150 MidCap - TRI,Invesco India Midcap Fund(G),15.22,2.82,4.14,0.88,25.85,48.65,30
Nippon India Dynamic Bond Fund(G),2004-11-15,2656,1.59,2.33,4.01,0.12,3.33,31.47,0.1,0.15,0.25,0.12,0.01,0.12,7,10,10,4,15,4,NIFTY Composite Debt Index,Nippon India Dynamic Bond Fund(G),1.82,2.91,5.2,0.19,3.64,117.3,22
DSP Savings Fund-Reg(G),1999-09-30,695,0.31,14.35,29.04,0.0,4.44,1514.85,0.02,0.9,1.83,0.0,0.02,6.01,8,14,18,21,14,20,CRISIL Money Market Index,DSP Savings Fund-Reg(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
Nippon India ETF Nifty Next 50 Junior BeES,2003-02-21,2273,18.28,2.76,3.96,1.11,30.62,45.59,1.15,0.17,0.25,1.11,0.12,0.18,99,35,46,102,25,42,NIFTY NEXT 50 - TRI,Nippon India ETF Nifty Next 50 Junior BeES,15.55,2.05,3.31,1.09,15.7,47.58,129
BHARAT Bond FOF - April 2031 -Reg(G),2020-07-23,45013,2.42,1.49,2.66,0.08,3.35,46.12,0.15,0.09,0.17,0.08,0.01,0.18,9,45,45,4,52,41,NIFTY BHARAT Bond Index - April 2031,BHARAT Bond FOF - April 2031 -Reg(G),8.71,2.66,4.36,0.46,19.3,63.9,53
HSBC Flexi Cap Fund-Reg(G),2004-02-24,1441,13.83,2.79,4.06,0.96,19.91,40.09,0.87,0.18,0.26,0.96,0.08,0.16,28,9,10,28,9,11,NIFTY 500 - TRI,HSBC Flexi Cap Fund-Reg(G),13.55,2.43,3.62,0.92,15.34,35.98,41
UTI Childrens Hybrid Fund,1993-07-12,3449,5.18,2.54,4.14,0.33,12.12,39.64,0.33,0.16,0.26,0.33,0.05,0.16,11,19,11,12,31,32,CRISIL Short Term Debt Hybrid 60+40 Index,UTI Childrens Hybrid Fund,8.75,2.57,3.95,0.85,20.29,58.89,38
UTI Retirement Fund,1994-12-27,3650,5.57,2.97,4.5,0.34,15.5,49.37,0.35,0.19,0.28,0.34,0.06,0.2,14,6,7,13,23,21,CRISIL Short Term Debt Hybrid 60+40 Index,UTI Retirement Fund,8.75,2.57,3.95,0.85,20.29,58.89,38
DSP India T.I.G.E.R Fund-Reg(G),2004-06-11,698,18.42,3.2,4.38,1.01,39.46,58.49,1.16,0.2,0.28,1.01,0.16,0.23,10,4,5,4,3,2,BSE India Infrastructure Index - TRI,DSP India T.I.G.E.R Fund-Reg(G),18.27,2.97,4.14,1.08,33.24,50.51,19
BHARAT Bond ETF FOF - April 2032 -Reg(G),2021-12-15,46128,2.63,1.44,2.63,0.05,3.63,82.25,0.17,0.09,0.17,0.05,0.01,0.33,10,46,46,2,51,10,NIFTY BHARAT Bond Index - April 2032,BHARAT Bond ETF FOF - April 2032 -Reg(G),8.71,2.66,4.36,0.46,19.3,63.9,53
DSP Low Duration Fund-Reg(G),2015-03-10,17625,0.34,12.59,24.85,0.02,4.18,278.64,0.02,0.79,1.57,0.02,0.02,1.11,10,12,12,15,10,15,NIFTY Low Duration Debt Index,DSP Low Duration Fund-Reg(G),0.34,12.74,25.01,0.01,4.25,355.41,20
HDFC Equity Savings Fund(G),2004-09-17,1309,4.7,3.04,4.54,0.23,13.56,60.91,0.3,0.19,0.29,0.23,0.05,0.24,14,14,15,20,36,26,NIFTY 50 Equity Savings Index - TRI,HDFC Equity Savings Fund(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Aditya Birla SL Digital India Fund(G),2000-01-15,482,15.12,1.58,3.15,0.74,9.63,32.46,0.95,0.1,0.2,0.74,0.04,0.13,3,4,4,3,4,4,BSE TECk Index - TRI,Aditya Birla SL Digital India Fund(G),14.99,1.87,3.62,0.71,13.88,39.23,5
Motilal Oswal Large & Midcap Fund-Reg(G),2019-10-17,42803,15.48,2.81,4.07,0.88,26.33,49.14,0.98,0.18,0.26,0.88,0.1,0.2,22,8,9,9,3,2,NIFTY LargeMidcap 250 - TRI,Motilal Oswal Large & Midcap Fund-Reg(G),14.14,2.59,3.77,0.92,18.57,39.45,26
SBI Nifty Bank ETF,2015-03-20,30043,16.4,0.73,1.1,1.13,-8.27,10.61,1.03,0.05,0.07,1.13,-0.03,0.04,91,120,120,119,120,120,NIFTY BANK - TRI,SBI Nifty Bank ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
Aditya Birla SL Nifty SDL Apr 2027 Index Fund-Reg(G),2022-01-28,46112,0.78,5.24,10.93,0.06,3.91,70.61,0.05,0.33,0.69,0.06,0.02,0.28,8,8,6,8,13,8,Nifty SDL Apr 2027 Index,Aditya Birla SL Nifty SDL Apr 2027 Index Fund-Reg(G),1.33,3.41,6.63,0.13,3.55,48.3,52
Invesco India Money Market Fund(G),2009-08-28,7934,0.33,13.6,29.78,0.0,4.51,2476.66,0.02,0.86,1.88,0.0,0.02,9.83,21,21,15,13,12,12,Nifty Money Market Index,Invesco India Money Market Fund(G),0.31,14.55,30.29,0.0,4.49,2345.68,21
SBI Banking and PSU Fund-Reg(G),2009-10-09,8004,0.78,4.84,8.79,0.07,3.55,54.76,0.05,0.3,0.55,0.07,0.01,0.22,16,18,17,12,20,16,NIFTY Banking and PSU Debt Index,SBI Banking and PSU Fund-Reg(G),0.78,5.39,9.93,0.08,3.74,76.05,26
Tata ELSS Tax Saver Fund-Reg(G),2014-10-13,31025,13.68,2.17,3.11,0.97,10.84,30.54,0.86,0.14,0.2,0.97,0.04,0.12,36,48,52,46,48,51,NIFTY 500 - TRI,Tata ELSS Tax Saver Fund-Reg(G),13.47,2.44,3.64,0.88,15.78,37.67,59
HDFC Medium Term Debt Fund(G),2002-02-06,1278,0.95,4.18,7.01,0.11,3.63,35.41,0.06,0.26,0.44,0.11,0.01,0.14,15,15,20,18,19,17,NIFTY Medium Duration Debt Index,HDFC Medium Term Debt Fund(G),0.94,4.78,9.57,0.1,3.67,61.6,30
Mahindra Manulife Small Cap Fund-Reg(G),2022-12-12,37922,17.93,2.85,3.91,0.97,32.26,52.57,1.13,0.18,0.25,0.97,0.13,0.21,22,6,10,23,3,10,BSE 250 Small Cap - TRI,Mahindra Manulife Small Cap Fund-Reg(G),15.05,2.66,3.8,0.79,24.98,51.05,24
Kotak Gold ETF,2007-07-27,2050,10.75,1.45,2.56,0.25,14.92,62.65,0.68,0.09,0.16,0.25,0.06,0.25,5,3,5,7,4,7,Gold-India,Kotak Gold ETF,15.57,1.15,2.03,0.62,14.46,42.92,22
Invesco India Smallcap Fund-Reg(G),2018-10-30,40339,14.85,2.86,4.11,0.75,28.02,56.9,0.94,0.18,0.26,0.75,0.11,0.23,13,5,3,8,8,3,BSE 250 Small Cap - TRI,Invesco India Smallcap Fund-Reg(G),15.05,2.66,3.8,0.79,24.98,51.05,24
UTI Nifty Next 50 Index Fund-Reg(G),2018-06-28,38439,18.26,2.75,3.95,1.1,28.9,45.66,1.15,0.17,0.25,1.1,0.11,0.18,71,28,29,82,23,37,NIFTY NEXT 50 - TRI,UTI Nifty Next 50 Index Fund-Reg(G),15.55,2.33,3.49,0.99,17.73,37.71,95
HSBC ELSS Tax saver Fund-Reg(G),2006-02-27,927,15.45,2.42,3.47,1.02,17.49,36.49,0.97,0.15,0.22,1.02,0.07,0.14,54,30,33,56,27,34,NIFTY 500 - TRI,HSBC ELSS Tax saver Fund-Reg(G),13.47,2.44,3.64,0.88,15.78,37.67,59
Franklin India Opportunities Fund(G),2000-02-21,946,14.81,3.72,5.33,0.83,39.09,66.68,0.93,0.23,0.34,0.83,0.16,0.26,31,2,4,15,5,3,NIFTY 500 - TRI,Franklin India Opportunities Fund(G),14.83,2.6,3.92,0.92,20.6,41.25,46
ICICI Pru Dividend Yield Equity Fund(G),2014-05-16,17588,12.89,3.29,4.88,0.9,25.02,47.33,0.81,0.21,0.31,0.9,0.1,0.19,2,1,1,2,2,1,NIFTY 500 - TRI,ICICI Pru Dividend Yield Equity Fund(G),14.48,2.72,3.98,0.96,20.45,40.76,9
ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G),2018-07-13,36398,11.91,3.78,6.81,0.47,35.99,96.42,0.75,0.24,0.43,0.47,0.14,0.38,5,1,2,11,1,6,BSE Health Care - TRI,ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G),12.2,3.31,6.12,0.45,32.02,94.7,11
Tata Overnight Fund-Reg(G),2019-03-27,42706,0.01,169.06,12.92,0.0,1.71,-25067.83,0.0,10.65,0.81,0.0,0.01,-99.48,16,14,18,8,20,32,CRISIL Liquid Overnight Index,Tata Overnight Fund-Reg(G),0.04,130.22,16.28,0.0,1.88,15979.3,32
