s_name,classification,schemecode,return_year1,return_year2,return_year3,return_year4,return_year5,return_year6,return_year7,return_year8,return_year9,return_year10,rank_year1,rank_year2,rank_year3,rank_year4,rank_year5,rank_year6,rank_year7,rank_year8,rank_year9,rank_year10,return_month1,return_month2,return_month3,return_month4,return_month5,return_month6,return_month7,return_month8,return_month9,return_month10,rank_month1,rank_month2,rank_month3,rank_month4,rank_month5,rank_month6,rank_month7,rank_month8,rank_month9,rank_month10,return_quarter1,return_quarter2,return_quarter3,return_quarter4,return_quarter5,return_quarter6,return_quarter7,return_quarter8,return_quarter9,return_quarter10,rank_quarter1,rank_quarter2,rank_quarter3,rank_quarter4,rank_quarter5,rank_quarter6,rank_quarter7,rank_quarter8,rank_quarter9,rank_quarter10,avg_year1,avg_year2,avg_year3,avg_year4,avg_year5,avg_year6,avg_year7,avg_year8,avg_year9,avg_year10,avg_month1,avg_month2,avg_month3,avg_month4,avg_month5,avg_month6,avg_month7,avg_month8,avg_month9,avg_month10,avg_quarter1,avg_quarter2,avg_quarter3,avg_quarter4,avg_quarter5,avg_quarter6,avg_quarter7,avg_quarter8,avg_quarter9,avg_quarter10,num_funds_year1,num_funds_year2,num_funds_year3,num_funds_year4,num_funds_year5,num_funds_year6,num_funds_year7,num_funds_year8,num_funds_year9,num_funds_year10,num_funds_month1,num_funds_month2,num_funds_month3,num_funds_month4,num_funds_month5,num_funds_month6,num_funds_month7,num_funds_month8,num_funds_month9,num_funds_month10,num_funds_quater10,num_funds_quater9,num_funds_quater8,num_funds_quater7,num_funds_quater6,num_funds_quater5,num_funds_quater4,num_funds_quater3,num_funds_quater2,num_funds_quater1
Edelweiss Large & Mid Cap Fund-Reg(G),Equity : Large & Mid Cap,1956,29.7,1.34,36.95,16.97,11.1,-3.35,38.11,0.49,2.68,44.72,14,14,16,8,6,3,11,19,12,12,3.34,0.45,1.22,2.59,6.43,8.11,-2.46,0.92,1.34,3.55,25,21,21,12,15,12,4,22,11,20,4.3,12.23,5.9,13.95,-4.23,1.47,13.22,-10.14,-1.83,1.37,17,10,18,10,15,19,6,18,11,17,29.97,1.67,37.71,16.05,8.72,-6.96,38.13,6.54,4.76,51.58,4.68,0.95,1.9,2.52,6.49,7.94,-2.97,1.73,0.98,4.16,5.41,11.54,7,13.56,-4.1,2.75,12.11,-9.73,-2.29,1.4,26,26,26,25,21,20,20,20,18,18,29,29,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27
HDFC Business Cycle Fund-Reg(G),Equity : Thematic,46445,28.01,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,2.62,1.2,-0.56,1.58,7.31,7.42,-3.04,2.1,-0.8,2.55,47,29,53,39,22,27,35,24,35,42,2.23,11.78,3.86,13.74,-3.05,-,-,-,-,-,45,30,40,13,19,-,-,-,-,-,31.97,3.2,37.07,18.21,8.82,-11.29,32.01,8.1,1.22,44.11,4.75,0.83,2.26,3.51,7.52,7.98,-2.59,2.39,0.4,5.02,6.77,13.21,7.94,12.72,-3.47,3.89,11.49,-10.34,-1.07,0.54,42,-,-,-,-,-,-,-,-,-,60,57,56,56,54,53,52,50,47,46,-,-,-,-,-,42,43,46,52,56
Kotak India EQ Contra Fund(G),Equity : Value / Contra,1973,35.01,7.37,30.17,15.17,10.02,2.56,35.39,7.06,-3.36,39.31,10,5,14,9,3,1,11,7,13,13,4.85,0.78,2.04,3.98,8.33,9.66,-2.19,3.04,-0.45,3.95,9,4,13,9,7,3,8,7,15,20,6.94,16.19,6.62,12.02,-2.71,6.41,10.85,-9.19,0.23,-1.09,8,3,16,13,9,7,14,10,6,16,34.42,5.98,36.12,16.43,2.39,-8.75,39.93,6.46,2.48,58.08,4.62,0.16,2,3.82,7.72,8.38,-2.48,2.57,0.27,5.29,6.07,13.86,8.29,12.73,-3.44,5.76,11.08,-9.04,-0.84,0.48,21,21,18,17,17,15,15,15,14,14,22,22,22,22,22,22,22,22,22,22,20,21,21,21,21,21,21,22,22,22
DSP Short Term Fund-Reg(G),Debt : Short Duration,729,6.65,3,2.82,9.5,9.04,5.83,5.72,8.89,8.19,10.62,13,14,15,12,11,15,14,15,9,6,0.23,0.68,0.61,0.58,0.8,0.53,0.25,0.35,0.52,0.47,20,8,16,21,9,23,21,15,7,15,1.88,1.58,1.35,2.05,1.51,1.48,1.04,-0.41,0.87,0.48,15,21,12,6,18,18,17,12,11,18,6.61,4.41,3.99,8.31,6.48,6.03,6.11,9.53,8.17,10.24,0.26,0.61,0.63,0.58,0.74,0.58,0.28,0.36,0.5,0.49,1.84,1.62,1.35,1.89,1.61,1.84,1.21,-0.47,1.72,0.62,24,23,21,21,20,19,19,19,19,19,27,26,26,26,26,26,26,26,26,26,23,23,23,23,24,24,26,26,26,26
Tata Multicap Fund-Reg(G),Equity : Multi Cap,47480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.16,-0.89,-0.65,1.88,5.74,4.88,-1.91,1.11,0.98,5.71,22,33,36,25,23,37,8,27,18,5,0.32,8.79,7.92,10.87,-,-,-,-,-,-,35,32,14,31,-,-,-,-,-,-,29.6,1.66,37.08,17.21,9.49,-6.6,39.26,2.92,2.93,53.63,4.52,0.56,1.41,2.66,6.31,7.75,-2.58,1.69,1.06,4.41,4.76,11.53,7.31,13.47,-4.22,2.56,12.19,-9.8,-2.15,1.53,-,-,-,-,-,-,-,-,-,-,38,38,38,37,37,37,36,35,34,33,-,-,-,-,-,-,33,33,36,37
ICICI Pru Bond Fund(G),Debt : Medium to Long Duration,6197,7.66,3.11,2.86,11.5,10.89,4.58,5.29,11.32,8.53,14.54,4,3,4,4,3,9,2,9,1,6,-0.26,0.78,0.9,0.67,1.03,0.83,0.12,0.28,0.63,0.4,44,2,9,35,30,13,12,36,2,10,2.37,2,1.31,2.55,1.6,1.64,2.27,-0.81,0.01,0.25,6,12,2,3,31,21,2,2,13,7,6.93,2.52,2.89,9.81,7.2,4.9,3,12.64,5.58,14.3,0.16,0.6,0.72,0.7,1.05,0.78,0.01,0.29,0.49,0.31,2.04,1.85,1.1,2.07,1.8,1.81,1.7,-1.63,0.39,0.28,38,15,11,11,11,11,11,11,11,11,52,52,52,52,52,52,52,52,52,52,13,15,26,26,26,38,52,52,52,52
ICICI Pru Constant Maturity Gilt Fund(G),Debt : Gilt (10 Yr Constant Duration),30426,7.71,1.23,2.79,13.6,12.75,9.7,2.39,16.15,6.91,-,1,2,1,1,2,3,3,1,3,-,-0.41,0.74,1,0.78,1.24,1.05,-0.38,0.03,0.65,0.15,2,3,5,4,5,2,3,1,4,3,2.54,1.92,0.83,2.9,1.86,2.09,1.91,-2.39,-0.31,-0.02,4,4,2,2,1,2,3,2,1,2,7.52,0.85,1.91,12.56,12.4,9.32,4.3,13.62,7.91,12.63,-0.43,0.74,1.03,0.8,1.28,1.02,-0.38,0,0.64,0.15,2.59,1.93,0.79,2.81,1.8,2.09,1.89,-2.41,-0.65,-0.04,6,4,4,4,4,4,4,4,4,-,6,6,6,6,6,6,6,6,6,6,4,4,4,4,5,6,6,6,6,6
Nippon India Corp Bond Fund(G),Debt : Corporate Bond,2646,7.15,4.32,4.71,9.52,7.78,6.89,6.62,9.13,8.69,9.26,4,2,1,16,14,5,4,10,4,11,0.23,0.72,0.83,0.68,0.77,0.63,0.26,0.38,0.51,0.52,9,8,4,2,9,5,11,14,8,11,2.25,1.66,1.42,2.3,1.59,1.81,1.57,-0.25,1.13,0.84,3,5,12,2,6,3,5,4,2,1,6.73,3.1,3.56,10.54,8.94,6.11,5.55,10.48,7.71,11.16,0.26,0.7,0.73,0.62,0.72,0.58,0.28,0.41,0.5,0.52,2.06,1.58,1.44,2.01,1.54,1.59,1.36,-0.76,0.88,0.61,20,20,18,18,17,14,13,12,12,11,21,21,21,21,21,21,21,21,21,21,19,20,20,20,20,20,21,21,21,21
Kotak NASDAQ 100 FoF-Reg(G),FoFs : Overseas,45260,57.75,-26.84,-,-,-,-,-,-,-,-,3,39,-,-,-,-,-,-,-,-,-2.68,2.15,3.83,1.58,6.49,10.9,-1.79,-5.47,-0.69,3.81,27,40,26,20,14,20,8,45,10,35,7.74,15.99,-2.54,15.62,20.7,-3.24,0.88,-19.84,-6.49,10.18,26,4,30,4,4,53,10,41,26,5,23.59,-14.52,9.91,19.5,24.32,-6.48,14.52,12.34,-7.89,0.55,-1.74,3.36,3.26,-1.17,4.69,9.21,-3.55,-4.19,-2.68,4.39,5.48,10.27,-2.69,5.18,8.56,8.67,-4.32,-13.83,-4.75,3.55,55,47,-,-,-,-,-,-,-,-,58,57,57,57,57,57,57,56,56,56,42,47,51,52,54,55,56,56,57,57
SBI Nifty 10 yr Benchmark G-Sec ETF,Debt : ETFs,32455,7.87,0.33,1.13,8.63,9.74,6.03,0.28,-,-,-,3,15,11,4,3,3,4,-,-,-,-0.45,0.74,1.02,0.8,1.26,1.08,-0.37,0.02,0.62,0.16,25,9,6,1,5,2,17,19,4,17,2.59,1.98,0.81,3.14,1.74,2.23,1.69,-2.45,-1.06,-0.16,4,6,17,2,7,3,6,13,14,14,7.18,2.45,3.11,7.53,7.78,6.58,1.94,10.71,7.02,7.85,0.09,0.69,0.64,0.61,0.9,0.83,0.18,0.35,0.51,0.39,1.9,1.78,1.23,2.36,1.63,1.92,1.65,-1.57,0.47,0.65,16,15,11,7,6,4,4,-,-,-,26,25,25,22,22,22,19,19,18,17,14,15,15,15,15,16,17,17,19,22
HSBC Overnight Fund-Reg(G),Debt : Overnight,42784,6.62,4.56,3.1,3.3,-,-,-,-,-,-,10,24,15,12,-,-,-,-,-,-,0.53,0.56,0.51,0.56,0.56,0.54,0.56,0.53,0.54,0.54,5,14,14,11,14,25,20,25,20,4,1.64,1.68,1.63,1.6,1.56,1.46,1.25,0.97,0.81,0.8,13,19,13,18,3,27,24,25,16,15,6.6,4.61,3.11,3.33,5.6,6.06,5.58,7.37,7.72,8.45,0.53,0.55,0.51,0.56,0.56,0.54,0.56,0.53,0.54,0.53,1.64,1.68,1.62,1.59,1.54,1.48,1.26,0.98,0.82,0.81,31,27,27,25,-,-,-,-,-,-,35,35,35,35,35,35,34,34,34,32,27,27,28,28,29,31,32,32,34,35
Nippon India ETF Nifty PSU Bank BeES,Equity : ETFs,3722,32.46,73.53,43.64,-30.84,-18.83,-16.93,24.25,4.41,-32.06,69.47,36,1,8,60,52,46,41,19,24,1,8.49,1.07,10.46,9.73,13.3,2.12,-6.2,17.64,-3.35,12.27,9,94,4,5,6,139,137,3,120,3,22.5,8.53,27.65,11.24,-14.05,44.03,22.99,-8.96,7.6,1.78,4,118,3,77,121,2,1,39,3,12,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.72,0.73,2.68,1.58,8,7.04,-2.91,2.49,-0.98,3.83,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,-0.93,-0.47,122,93,72,61,53,47,43,37,25,20,149,147,145,141,141,141,138,136,134,129,84,93,103,103,117,122,129,129,138,141
UTI MNC Fund-Reg(G),Equity : Thematic - MNC,3634,22.64,-1.44,24.14,12.9,-1.71,-0.28,37.29,-3,12.65,62.94,4,2,3,3,3,1,3,2,2,3,3.42,0.96,1.97,0.81,4.29,4.32,-1.45,1.05,0.02,3.14,3,2,1,3,3,4,1,3,5,5,3.78,7.22,4.24,13.32,-3.18,-1.58,10.06,-2.43,-6.73,-0.42,2,2,4,2,3,2,2,1,3,3,23.93,-3.1,29.13,18.41,2.88,-4.98,39.09,-2.88,12.72,66.8,3.25,0.24,0.15,0.58,4.4,4.73,-2.61,0.87,1.23,3.75,0.99,6.49,5.95,12.79,-2.82,-1.75,10.67,-5.97,-5.19,2.01,4,4,4,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5
ICICI Pru Transportation and Logistics Fund-Reg(G),Equity : Sectoral - Auto,46979,45.03,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,4.61,2.36,3.74,3.96,6.24,8.21,-1.36,2.47,1.76,3.82,5,5,4,4,1,5,1,3,1,3,10.4,13.39,8.25,20.63,-2.05,-,-,-,-,-,5,3,1,3,1,-,-,-,-,-,42.82,14.69,24.34,11.02,-8.74,-19.52,39.61,4.78,5.72,103.96,5.19,3.26,4.36,4.34,5.59,9.4,-1.85,2.43,0.59,3.88,12.44,13.42,7.21,21.27,-3.24,-1.4,9.97,7.91,-1.98,2.62,4,-,-,-,-,-,-,-,-,-,6,6,6,6,6,5,5,5,4,4,-,-,-,-,-,4,4,4,5,6
UTI Balanced Advantage Fund-Reg(G),Hybrid : Dynamic Asset Allocation,48102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.44,1,0.65,0.28,4.49,3.88,-1.55,1.46,-,-,25,13,27,29,17,16,19,11,-,-,1.94,6.86,-,-,-,-,-,-,-,-,27,16,-,-,-,-,-,-,-,-,18.6,3.87,13.88,12.21,7.7,1.12,20.1,5.49,3.55,34.53,2.06,0.73,1.54,1.7,4.64,4.33,-1.47,1.49,0.06,2.55,4.04,7.63,4.16,7.8,-1.48,2.64,6.26,-4.74,-0.01,0.23,-,-,-,-,-,-,-,-,-,-,32,31,30,30,28,28,27,27,-,-,-,-,-,-,-,-,-,-,27,30
UTI MEPUS,Equity : Tax Saving (ELSS),3617,21.08,1.24,29.14,12.3,9.3,-3.77,32.75,6.38,-0.12,38.96,54,39,45,44,23,11,32,14,24,26,2.08,2.06,0.89,-0.52,6.75,5.64,-2.54,1.75,-0.74,2.57,54,6,42,56,21,52,26,30,48,51,2.44,9.91,3.59,11.43,-4.57,3.64,10.68,-11.19,-0.61,0.06,45,44,51,47,39,24,34,46,24,38,29.57,2.78,38.57,18.02,6.97,-8.89,38.12,5.24,3.16,50.41,4.62,0.21,1.46,2.04,6.35,7.34,-2.41,1.84,0.69,3.76,3.77,11.41,6.4,13.43,-3.73,2.55,12.16,-9.32,-1.44,1.66,58,55,55,55,52,45,40,36,29,27,60,60,60,60,60,60,60,60,60,60,55,55,55,55,55,58,59,60,60,60
HDFC Multi-Asset Fund(G),Hybrid : Multi Asset Allocation,1307,17.98,4.34,17.91,20.88,9.34,-1.9,11.83,8.91,4.67,20.43,9,7,7,2,5,6,5,3,3,4,2.36,1.34,1.31,1.38,4,4.1,-0.43,0.84,-0.55,2.59,19,15,10,10,12,12,7,7,10,10,4.09,7.8,2.88,6.16,0.2,4.15,4.81,-3.71,-0.73,2.19,12,11,11,10,3,6,8,2,9,3,21.32,5.47,22.74,16.54,9.66,0.29,16,8.26,2.67,22.92,3.02,1.62,1.48,1.65,4.44,4.66,-0.75,0.87,0.1,3.1,4.96,8.51,4.09,7.59,-0.97,4.17,6.96,-6.15,0.81,1.86,11,10,10,7,7,7,7,7,7,7,24,22,20,17,17,17,17,14,14,14,10,10,10,10,10,11,12,14,17,17
SBI Infrastructure Fund-Reg(G),Equity : Sectoral - Infrastructure,2743,49.7,9.26,48.33,8.21,10.21,-18.09,41.74,9.27,2.7,48.06,6,8,12,9,2,12,15,2,4,17,5.77,2.35,1.75,5.25,7.06,10.03,-0.53,4.3,1.62,6.17,18,8,11,11,17,5,2,2,7,13,9.61,17.18,12.53,12.6,0.82,4.04,12.63,-6.05,-0.76,2.69,9,5,7,16,4,10,17,8,7,10,44.84,9.7,50.88,8.55,2.89,-17.49,47.6,3.61,-0.36,63.54,7.6,1.74,2.25,6.09,8.67,8.52,-2.41,2.94,1.4,7.15,10.37,15.09,11.85,14.14,-1.38,4.28,14.88,-7.27,-1.29,1.84,19,19,19,19,19,19,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund-Reg(G),Debt : Long Duration,46390,7.16,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-0.06,0.7,1.8,0.56,1.12,0.6,-0.83,0.39,0.83,0.29,2,16,4,20,18,17,17,1,3,6,3.09,0.89,1.51,3.1,1.49,1.88,2.92,-2.08,-,-,13,17,1,5,10,3,2,1,-,-,7.2,1.42,0.82,12.08,11.75,6.69,3.62,14.32,5.51,16.23,-0.57,0.78,1.48,1.09,1.31,0.79,-0.6,0.02,0.74,0.28,3.39,1.48,1.04,2.74,1.88,1.94,2.39,-2.55,0.05,0.06,11,-,-,-,-,-,-,-,-,-,24,21,21,21,20,20,19,19,19,19,-,-,4,4,5,11,19,19,19,21
Aditya Birla SL Nifty Bank ETF,Equity : ETFs,34434,13.15,21.85,13.71,-3.27,-,-,-,-,-,-,113,7,63,51,-,-,-,-,-,-,4.81,2.15,0.26,-4.77,8.55,3.8,-3.91,1.37,-3.41,2,49,33,121,134,45,133,126,103,126,108,-2.47,8.27,-0.13,10.8,-5.56,11.22,15.77,-7.65,2.47,-5.23,130,130,114,98,87,8,28,23,6,75,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.72,0.73,2.68,1.58,8,7.04,-2.91,2.49,-0.98,3.83,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,-0.93,-0.47,122,93,72,61,-,-,-,-,-,-,149,147,145,141,141,141,138,136,134,129,84,93,103,103,117,122,129,129,138,141
Tata Multi Asset Opp Fund-Reg(G),Hybrid : Multi Asset Allocation,44648,18.3,6.93,22.4,-,-,-,-,-,-,-,8,3,5,-,-,-,-,-,-,-,2.62,1.09,2.17,1.94,5.37,3.72,-1.51,1.59,-0.61,3.16,14,17,4,7,4,13,14,4,11,8,5.28,7.63,4.16,7.78,-2.08,5.02,6.89,-6.04,1.39,1.44,7,12,8,5,9,4,6,5,3,6,21.32,5.47,22.74,16.54,9.66,0.29,16,8.26,2.67,22.92,3.02,1.62,1.48,1.65,4.44,4.66,-0.75,0.87,0.1,3.1,4.96,8.51,4.09,7.59,-0.97,4.17,6.96,-6.15,0.81,1.86,11,10,10,-,-,-,-,-,-,-,24,22,20,17,17,17,17,14,14,14,10,10,10,10,10,11,12,14,17,17
Tata Flexi Cap Fund-Reg(G),Equity : Flexi Cap,39283,27.84,-3.49,26.57,14.31,10.51,-,-,-,-,-,21,26,23,16,14,-,-,-,-,-,4.4,1.48,-0.95,0.29,6.15,6.45,-1.95,1.6,1.04,4.14,18,15,45,36,33,35,13,27,15,17,0.81,10.79,6.9,13.33,-4.76,0.32,10.1,-8.48,-4.53,0.54,41,27,15,17,26,33,26,7,26,17,28.36,0.44,33.22,17.62,9.98,-5.03,36.15,4.25,1.92,52.71,4.13,0.86,2.01,1.89,6.8,7.24,-2.54,1.97,0.47,3.77,4.95,11.62,6.35,12.91,-4.01,2.6,11.24,-10.26,-2.27,0.87,39,33,29,26,26,-,-,-,-,-,47,47,47,46,46,45,45,44,43,43,33,33,35,35,39,39,41,43,45,46
ICICI Pru Nifty 100 Low Volatility 30 ETF,Equity : ETFs,36395,31.21,1.54,23.61,23.67,4.87,6.89,-,-,-,-,41,60,50,8,37,12,-,-,-,-,-1.46,0.82,3.42,0.93,8.53,6.97,-0.93,1.57,-2.12,4.28,132,104,45,76,50,63,6,89,81,35,5.24,15.01,3.68,12.03,-1.78,3.05,7.67,-5.18,-3.49,-2.41,58,28,63,60,29,73,81,14,73,68,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.72,0.73,2.68,1.58,8,7.04,-2.91,2.49,-0.98,3.83,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,-0.93,-0.47,122,93,72,61,53,47,-,-,-,-,149,147,145,141,141,141,138,136,134,129,84,93,103,103,117,122,129,129,138,141
LIC MF Large & Midcap Fund-Reg(G),Equity : Large & Mid Cap,31950,26.7,-2.31,33.33,14.08,10.92,-5.02,40.13,13.22,-,-,22,21,22,15,7,6,7,2,-,-,6.96,-0.45,0.02,3.18,6.44,7.85,-2.6,1.49,1.63,3.77,2,26,26,8,14,14,7,16,7,18,2.74,11.81,7.03,12.23,-5.66,-2.5,12.87,-9.98,-1.39,1.97,23,12,14,21,24,26,9,16,9,10,29.97,1.67,37.71,16.05,8.72,-6.96,38.13,6.54,4.76,51.58,4.68,0.95,1.9,2.52,6.49,7.94,-2.97,1.73,0.98,4.16,5.41,11.54,7,13.56,-4.1,2.75,12.11,-9.73,-2.29,1.4,26,26,26,25,21,20,20,20,-,-,29,29,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27
Axis Business Cycles Fund-Reg(G),Equity : Thematic,47580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.24,1.07,2.42,1.19,7.74,6.01,-2.07,1.17,0.93,4.42,28,31,28,44,18,47,14,38,15,24,4.74,11.85,6.63,13.09,-,-,-,-,-,-,35,29,25,18,-,-,-,-,-,-,31.97,3.2,37.07,18.21,8.82,-11.29,32.01,8.1,1.22,44.11,4.75,0.83,2.26,3.51,7.52,7.98,-2.59,2.39,0.4,5.02,6.77,13.21,7.94,12.72,-3.47,3.89,11.49,-10.34,-1.07,0.54,-,-,-,-,-,-,-,-,-,-,60,57,56,56,54,53,52,50,47,46,-,-,-,-,-,-,43,46,52,56
Tata Ultra Short Term Fund-Reg(G),Debt : Ultra Short Duration,41798,6.47,4.11,3.09,4.93,-,-,-,-,-,-,17,17,18,14,-,-,-,-,-,-,0.56,0.62,0.56,0.58,0.51,0.53,0.52,0.49,0.49,0.54,17,18,15,11,19,11,15,16,16,17,1.77,1.57,1.53,1.65,1.57,1.43,1.1,0.63,0.9,0.76,15,15,16,17,18,18,18,17,14,16,6.63,4.28,3.59,5.23,7.27,5.52,6.56,8.18,8.37,9.56,0.58,0.65,0.58,0.57,0.53,0.52,0.53,0.5,0.51,0.56,1.82,1.59,1.58,1.7,1.62,1.48,1.16,0.67,0.9,0.78,24,24,23,21,-,-,-,-,-,-,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
HDFC Defence Fund-Reg(G),Equity : Thematic,46585,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.53,1.87,3.17,2.67,13,13.97,-0.96,0,6.98,9.52,1,18,18,33,4,1,5,47,1,2,7.91,27.55,17.17,-,-,-,-,-,-,-,22,1,3,-,-,-,-,-,-,-,31.97,3.2,37.07,18.21,8.82,-11.29,32.01,8.1,1.22,44.11,4.75,0.83,2.26,3.51,7.52,7.98,-2.59,2.39,0.4,5.02,6.77,13.21,7.94,12.72,-3.47,3.89,11.49,-10.34,-1.07,0.54,-,-,-,-,-,-,-,-,-,-,60,57,56,56,54,53,52,50,47,46,-,-,-,-,-,-,-,46,52,56
Mirae Asset Multicap Fund-Reg(G),Equity : Multi Cap,48089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.78,-1.19,0.09,2.56,7.92,6.92,-2.59,1.82,-,-,18,36,32,18,6,27,17,15,-,-,1.43,12.4,-,-,-,-,-,-,-,-,33,16,-,-,-,-,-,-,-,-,29.6,1.66,37.08,17.21,9.49,-6.6,39.26,2.92,2.93,53.63,4.52,0.56,1.41,2.66,6.31,7.75,-2.58,1.69,1.06,4.41,4.76,11.53,7.31,13.47,-4.22,2.56,12.19,-9.8,-2.15,1.53,-,-,-,-,-,-,-,-,-,-,38,38,38,37,37,37,36,35,-,-,-,-,-,-,-,-,-,-,36,37
UTI Short Duration Fund-Reg(G),Debt : Short Duration,3656,6.92,3.77,8.38,10.48,-3.91,6.01,6.07,10.08,8.29,10.92,4,5,2,4,19,11,6,3,7,5,0.29,0.69,0.86,0.65,0.77,0.59,0.35,0.45,0.46,0.5,8,6,2,2,14,15,4,4,20,11,2.22,1.72,1.43,2.07,1.54,1.54,1.48,-0.16,0.87,0.86,2,8,7,3,15,10,4,2,12,3,6.61,4.41,3.99,8.31,6.48,6.03,6.11,9.53,8.17,10.24,0.26,0.61,0.63,0.58,0.74,0.58,0.28,0.36,0.5,0.49,1.84,1.62,1.35,1.89,1.61,1.84,1.21,-0.47,1.72,0.62,24,23,21,21,20,19,19,19,19,19,27,26,26,26,26,26,26,26,26,26,23,23,23,23,24,24,26,26,26,26
SBI Healthcare Opp Fund-Reg(G),Equity : Sectoral - Pharma,2813,38.24,-6.02,20.15,65.83,-0.49,-9.89,2.05,-14.02,27.06,56.85,3,1,4,6,7,4,4,3,1,1,1.02,0.01,5.53,5.85,4.6,9.1,-4.16,0.84,1.25,6.72,6,8,3,9,3,13,10,12,3,10,11.71,9.37,8.96,18.64,-2.23,2.05,8.9,-9.75,-6.29,1.25,3,10,9,1,1,2,3,3,3,4,35.6,-9.84,20.49,66.47,3.8,-4.1,5.13,-12.24,19.6,50.02,0.8,-0.15,4.01,6.12,4.04,10.75,-3.8,2.1,0.79,7.73,10.29,10.87,10.7,15.53,-4.17,-0.16,7.95,-10.29,-6.75,0.33,11,10,9,9,7,4,4,4,3,3,16,16,14,14,13,13,12,12,12,11,9,10,10,10,10,11,11,11,12,14
Invesco India ELSS Tax Saver Fund(G),Equity : Tax Saving (ELSS),2270,30.9,-7.65,32.55,19.16,9.43,-1.25,35.74,3.42,5.81,54.3,20,54,32,18,22,7,27,22,9,9,4.56,-0.28,1.38,2.53,6.15,8.24,-1.92,1.83,0.6,3.02,28,45,37,24,32,15,14,28,23,42,3.65,12.7,5.53,14.53,-3.9,2.17,9.8,-13.61,-4.71,2.11,36,19,34,16,32,37,46,54,49,21,29.57,2.78,38.57,18.02,6.97,-8.89,38.12,5.24,3.16,50.41,4.62,0.21,1.46,2.04,6.35,7.34,-2.41,1.84,0.69,3.76,3.77,11.41,6.4,13.43,-3.73,2.55,12.16,-9.32,-1.44,1.66,58,55,55,55,52,45,40,36,29,27,60,60,60,60,60,60,60,60,60,60,55,55,55,55,55,58,59,60,60,60
HDFC Long Duration Debt Fund-Reg(G),Debt : Long Duration,45991,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.53,1,1.91,1.93,1.76,0.74,-0.73,-0.3,0.94,0.56,24,2,1,2,1,12,14,18,1,2,4.91,1.77,1.2,2.03,-,-,-,-,-,-,1,6,7,17,-,-,-,-,-,-,7.2,1.42,0.82,12.08,11.75,6.69,3.62,14.32,5.51,16.23,-0.57,0.78,1.48,1.09,1.31,0.79,-0.6,0.02,0.74,0.28,3.39,1.48,1.04,2.74,1.88,1.94,2.39,-2.55,0.05,0.06,-,-,-,-,-,-,-,-,-,-,24,21,21,21,20,20,19,19,19,19,-,-,-,-,-,-,19,19,19,21
UTI Low Duration Fund-Reg(G),Debt : Low Duration,3601,7.12,4.48,8.95,7.28,-4.23,7.29,7.05,8.9,8.76,9.31,2,2,1,10,18,7,5,4,4,5,0.55,0.69,0.61,0.63,0.6,0.56,0.49,0.5,0.53,0.6,14,8,5,1,2,2,6,5,8,7,1.94,1.66,1.64,1.92,1.72,1.55,1.22,0.61,1.03,1.06,3,1,6,3,2,2,9,1,4,1,6.84,4.08,3.74,8.13,4.75,7.06,6.75,8.53,8.34,9,0.57,0.68,0.6,0.58,0.57,0.53,0.47,0.5,0.53,0.6,1.87,1.57,1.64,1.82,1.64,1.47,1.27,0.35,0.93,0.73,20,20,20,20,20,20,19,19,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
