MF Code,schemecode,fund_house,returns_1month,returns_3month,returns_6month,returns_1year,index_name,returns_3year,returns_5year,returns_10year,ytd_returns,rank_ytd,rank_1month,rank_3month,rank_6month,rank_1year,rank_3year,rank_5year,rank_10year,s_name,classification,funds_num_ytd,funds_num_month1,funds_num_month3,funds_num_month6,funds_num_year1,funds_num_year3,funds_num_year5,funds_num_year10,ytd_avg,avg_month1,avg_month3,avg_month6,avg_year1,avg_year3,avg_year5,avg_year10,monthret_1,monthret_3,monthret_6,yrret_1,yrret_3,yrret_5,yrret_10,ytdret
Tata Equity P/E Fund(G),3098,Tata Mutual Fund,-2.26,3.06,16.63,48.03,NIFTY 500 - TRI,22.17,23.03,16.97,27.48,8,19,12,8,7,8,13,8,Tata Equity P/E Fund(G),Equity : Value / Contra,22,22,22,22,22,20,17,14,26.67,-0.62,3.21,15.27,44.16,20.65,24.94,16.59,,,,,,,,
Nippon India Focused Equity Fund(G),2641,Nippon India Mutual Fund,-1.45,1.52,15.72,29.6,BSE 500 - TRI,15.38,22.82,15.45,17.31,45,43,40,24,41,21,6,9,Nippon India Focused Equity Fund(G),Equity : Flexi Cap,46,48,48,47,45,33,26,19,25.36,0.18,3.73,15.67,39.54,16.58,21.29,15.24,0.18,2.65,13.42,36.48,16.36,22.18,,28.24
Nippon India Value Fund(G),2662,Nippon India Mutual Fund,0.27,4.63,16.83,51.35,NIFTY 500 - TRI,22.52,26.71,17.79,27.12,10,6,7,7,2,6,7,3,Nippon India Value Fund(G),Equity : Value / Contra,22,22,22,22,22,20,17,14,26.67,-0.62,3.21,15.27,44.16,20.65,24.94,16.59,,,,,,,,
Nippon India Balanced Advantage Fund(G),2654,Nippon India Mutual Fund,-0.58,2.23,8.69,23.96,CRISIL Hybrid 50+50 - Moderate Index,11.92,13.82,11.17,14.99,14,30,21,19,10,9,7,5,Nippon India Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,30,33,32,32,27,21,18,10,15.44,0.07,2.6,8.95,24.46,12.08,13.81,10.68,,,,,,,,
ICICI Pru Banking & PSU Debt Fund(G),8080,ICICI Prudential Mutual Fund,0.76,2.01,3.92,7.96,NIFTY Banking and PSU Debt Index,6.18,6.72,7.62,6.25,18,24,24,24,15,2,3,3,ICICI Pru Banking & PSU Debt Fund(G),Debt : Banking & PSU,27,27,27,27,26,22,16,15,6.33,0.86,2.29,4.12,8.12,5.64,6.4,7.2,,,,,,,,
LIC MF Liquid Fund-Reg(G),2137,LIC Mutual Fund,0.61,1.78,3.56,7.42,CRISIL Liquid Debt Index,6.07,5.23,6.32,5.79,2,9,5,4,2,21,11,15,LIC MF Liquid Fund-Reg(G),Debt : Liquid,37,37,37,37,37,35,34,29,5.66,0.6,1.75,3.5,7.27,6.04,5.15,6.25,,,,,,,,
ICICI Pru Smallcap Fund(G),1625,ICICI Prudential Mutual Fund,-1.18,1.66,16.61,34.89,Nifty Smallcap 250 - TRI,20.75,30.45,17.44,22.37,25,24,26,24,22,17,14,10,ICICI Pru Smallcap Fund(G),Equity : Small Cap,27,28,28,27,24,23,19,13,29.75,-0.09,5.25,21.29,44.21,22.76,33.12,19.68,,,,,,,,
ICICI Pru Floating Interest Fund(G),1512,ICICI Prudential Mutual Fund,0.61,2.09,4.03,8.09,NIFTY Low Duration Debt Index,6.09,6.72,7.23,6.52,8,13,11,10,9,7,3,4,ICICI Pru Floating Interest Fund(G),Debt : Floater,13,13,13,13,13,12,7,5,6.7,0.79,2.34,4.38,8.43,6.15,6.42,7.11,,,,,,,,
Nippon India Nivesh Lakshya Fund(G),35207,Nippon India Mutual Fund,1.28,3.31,6.5,13.54,CRISIL Long Duration Debt Index,7.12,7.18,,10.54,3,3,3,6,4,1,1,,Nippon India Nivesh Lakshya Fund(G),Debt : Long Duration,21,24,24,24,19,3,3,2,8.98,1.13,3.14,5.86,11.82,5.87,6.22,7.46,,,,,,,,
Nippon India Pharma Fund(G),2659,Nippon India Mutual Fund,-0.25,12.8,21.13,50.22,BSE Health Care - TRI,19.14,30.43,16.06,34.03,14,14,13,13,13,6,6,1,Nippon India Pharma Fund(G),Equity : Sectoral - Pharma,14,16,16,16,13,9,9,3,39.48,0.23,14.44,23.69,55.9,19.26,30.2,14.79,1.47,15.99,24.94,58.76,19.87,30.42,,52.75
Aditya Birla SL Short Term Fund(G),287,Aditya Birla Sun Life Mutual Fund,0.88,2.3,4.2,8.39,Nifty Short Duration Debt Index,6.03,6.69,7.54,6.44,10,4,11,6,9,4,5,3,Aditya Birla SL Short Term Fund(G),Debt : Short Duration,25,26,26,26,25,23,21,19,6.01,0.78,2.17,3.93,7.81,5.84,6.15,6.8,,,,,,,,
ICICI Pru Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund-Reg(G),45898,ICICI Prudential Mutual Fund,0.84,2.32,4.36,8.82,Nifty PSU Bond Plus SDL Sep 2027 40:60 Index,5.35,,,6.8,29,24,39,44,41,9,,,ICICI Pru Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund-Reg(G),Debt : Medium to Long Duration,52,52,52,52,52,13,11,11,6.86,0.84,2.48,4.6,9.21,5.58,5.99,6.75,,,,,,,,
SBI Nifty Index Fund-Reg(G),2782,SBI Mutual Fund,-0.22,2.9,10.48,27.74,NIFTY 50 - TRI,12.46,17.79,12.65,15.54,84,78,48,83,81,31,16,10,SBI Nifty Index Fund-Reg(G),Equity : Index Funds,105,140,128,115,101,47,27,18,25.14,-0.14,2.76,14.47,42.08,15.68,19.68,12.99,,,,,,,,
Edelweiss Nifty PSU Bond Plus SDL Apr 2026 50:50 Index Fund-Reg(G),45388,Edelweiss Mutual Fund,0.81,2.04,3.94,7.9,Nifty PSU Bond Plus SDL Apr 2026 50:50 Index,5.36,,,6.14,24,19,22,23,19,17,,,Edelweiss Nifty PSU Bond Plus SDL Apr 2026 50:50 Index Fund-Reg(G),Debt : Banking & PSU,27,27,27,27,26,22,16,15,6.33,0.86,2.29,4.12,8.12,5.64,6.4,7.2,,,,,,,,
Tata Large & Mid Cap Fund-Reg(G),3096,Tata Mutual Fund,-0.89,3.81,13.68,32.86,NIFTY LargeMidcap 250 - TRI,17.64,21.76,15.51,22.01,24,24,15,25,25,15,17,12,Tata Large & Mid Cap Fund-Reg(G),Equity : Large & Mid Cap,27,29,29,29,26,26,22,18,28.05,0.16,4.01,16.95,42.73,18.5,23.46,16.28,,,,,,,,
Mirae Asset Focused Fund-Reg(G),42898,Mirae Asset Mutual Fund,0.11,7.63,15.64,26.36,NIFTY 500 - TRI,8.97,19.14,,19.23,34,21,4,22,34,23,15,,Mirae Asset Focused Fund-Reg(G),Equity : Multi Cap,36,40,38,37,35,24,19,13,26.34,0.24,4.64,16.63,40.21,17.26,22.55,15.57,,,,,,,,
Bandhan Small Cap Fund-Reg(G),42342,Bandhan Mutual Fund,0.54,11.94,31.5,67.73,BSE 250 Small Cap - TRI,26.73,,,46.43,1,10,1,1,1,4,,,Bandhan Small Cap Fund-Reg(G),Equity : Small Cap,27,28,28,27,24,23,19,13,29.75,-0.09,5.25,21.29,44.21,22.76,33.12,19.68,0.13,4.09,19.63,46.88,23.68,32.76,,38.11
ICICI Pru Overnight Fund(G),41653,ICICI Prudential Mutual Fund,0.52,1.6,3.23,6.72,CRISIL Liquid Overnight Index,5.69,4.74,,5.17,6,19,19,18,9,11,13,,ICICI Pru Overnight Fund(G),Debt : Overnight,35,35,35,35,34,27,22,3,5.11,0.52,1.59,3.21,6.66,5.68,4.75,5.68,0.53,1.62,3.29,,,,,6.57
UTI Nifty200 Momentum 30 Index Fund-Reg(G),45342,UTI Mutual Fund,3.45,2.37,18.18,61.76,Nifty200 Momentum 30 - TRI,22.65,,,37.03,17,3,81,29,17,2,,,UTI Nifty200 Momentum 30 Index Fund-Reg(G),Equity : Index Funds,105,140,128,115,101,47,27,18,25.14,-0.14,2.76,14.47,42.08,15.68,19.68,12.99,,,,,,,,
Motilal Oswal Nasdaq 100 ETF,13397,Motilal Oswal Mutual Fund,7.48,-1.56,13.39,34.86,Nasdaq-100,15.08,25.45,20.93,21.6,67,6,146,80,70,36,5,1,Motilal Oswal Nasdaq 100 ETF,Equity : ETFs,141,163,155,149,139,84,60,24,22.93,0.57,3.63,13.81,37.87,15.94,20.19,13.29,7.5,-2.1,12.38,33.77,10.92,21.17,,28.93
Aditya Birla SL Focused Fund(G),489,Aditya Birla Sun Life Mutual Fund,0.64,4.96,14.3,37.24,NIFTY 500 - TRI,14.75,19.62,14.06,24.49,7,4,5,10,13,15,13,13,Aditya Birla SL Focused Fund(G),Equity : Large Cap,36,38,37,37,36,34,31,28,21.62,-0.4,3.03,12.39,35.23,14.6,19.04,13.83,,,,,,,,
360 ONE Focused Equity Fund-Reg(G),30046,360 ONE Mutual Fund,-1.28,1.69,13.73,35.13,BSE 500 - TRI,16.69,23.82,,22.45,28,38,34,31,30,17,8,,360 ONE Focused Equity Fund-Reg(G),Equity : Multi Cap,36,40,38,37,35,24,19,13,26.34,0.24,4.64,16.63,40.21,17.26,22.55,15.57,0.18,2.65,13.42,36.48,16.36,22.18,,28.24
SBI Innovative Opportunities Fund-Reg(G),48899,SBI Mutual Fund,-0.18,,,,NIFTY 500 - TRI,,,,,,46,,,,,,,SBI Innovative Opportunities Fund-Reg(G),Equity : Thematic,56,76,70,60,52,34,16,9,28.14,0.27,3.26,15.94,44.22,18.92,24.46,15.38,,,,,,,,
Axis Overnight Fund-Reg(G),42062,Axis Mutual Fund,0.53,1.62,3.27,6.77,Nifty 1D Rate Index,5.76,4.82,,5.2,3,3,3,3,3,2,1,,Axis Overnight Fund-Reg(G),Debt : Overnight,35,35,35,35,34,27,22,3,5.11,0.52,1.59,3.21,6.66,5.68,4.75,5.68,0.53,1.62,3.29,6.81,5.83,4.9,,6.69
Aditya Birla SL Equity Hybrid 95 Fund(G),430,Aditya Birla Sun Life Mutual Fund,0.11,2.97,12.51,28.98,CRISIL Hybrid 35+65 - Aggressive Index,11.27,15.74,11.93,19.19,18,36,23,14,19,27,19,11,Aditya Birla SL Equity Hybrid 95 Fund(G),Hybrid : Equity Oriented,55,55,55,55,55,52,51,24,15.61,0.2,2.78,9.65,23.31,11.24,14.09,11.42,,,,,,,,
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund-Reg(G),46381,Kotak Mahindra Mutual Fund,0.88,2.37,4.54,9.06,Nifty SDL Apr 2027 Top 12 Equal Weight Index,,,,6.88,21,14,34,30,34,,,,Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund-Reg(G),Debt : Medium to Long Duration,52,52,52,52,52,13,11,11,6.86,0.84,2.48,4.6,9.21,5.58,5.99,6.75,,,,,,,,
HDFC Index Fund-BSE Sensex(G)(Post Addendum),12635,HDFC Mutual Fund,-0.41,2.26,9.46,24.51,BSE SENSEX - TRI,11.65,17.35,12.9,13.45,97,94,89,104,93,43,22,6,HDFC Index Fund-BSE Sensex(G)(Post Addendum),Equity : Index Funds,105,140,128,115,101,47,27,18,25.14,-0.14,2.76,14.47,42.08,15.68,19.68,12.99,-0.17,2.12,9.43,23.96,12.02,17.76,,17.72
Bandhan Flexi Cap Fund-Reg(G),2906,Bandhan Mutual Fund,-0.01,3.77,14.7,34.76,BSE 500 - TRI,14.98,18.14,13.09,22.48,30,29,23,25,31,22,19,17,Bandhan Flexi Cap Fund-Reg(G),Equity : Flexi Cap,46,48,48,47,45,33,26,19,25.36,0.18,3.73,15.67,39.54,16.58,21.29,15.24,0.18,2.65,13.42,36.48,16.36,22.18,,28.24
Quant Flexi Cap Fund(G),6305,Quant Mutual Fund,-1.81,-1.86,8.84,50.05,NIFTY 500 - TRI,21.55,35.79,21.25,28.82,13,45,47,46,6,5,1,1,Quant Flexi Cap Fund(G),Equity : Flexi Cap,46,48,48,47,45,33,26,19,25.36,0.18,3.73,15.67,39.54,16.58,21.29,15.24,,,,,,,,
HDFC Capital Builder Value Fund(G),1112,HDFC Mutual Fund,-0.23,4.39,17.43,43.87,NIFTY 500 - TRI,19.27,22.69,15.35,26.8,11,10,8,6,10,14,14,11,HDFC Capital Builder Value Fund(G),Equity : Value / Contra,22,22,22,22,22,20,17,14,26.67,-0.62,3.21,15.27,44.16,20.65,24.94,16.59,,,,,,,,
Aditya Birla SL Overnight Fund-Reg(G),41518,Aditya Birla Sun Life Mutual Fund,0.52,1.6,3.23,6.67,CRISIL Liquid Overnight Index,5.67,4.74,,5.12,18,20,16,19,22,18,16,,Aditya Birla SL Overnight Fund-Reg(G),Debt : Overnight,35,35,35,35,34,27,22,3,5.11,0.52,1.59,3.21,6.66,5.68,4.75,5.68,0.53,1.62,3.29,,,,,6.57
Nippon India Power & Infra Fund(G),2452,Nippon India Mutual Fund,0.72,-2.57,16.06,57.5,Nifty Infrastructure - TRI,32.57,32.11,18.09,34.77,1,2,4,1,1,1,1,2,Nippon India Power & Infra Fund(G),Equity : Sectoral - Energy / Power,3,5,4,4,3,3,3,2,27.95,0.61,-0.25,11.34,48.6,22.58,28.16,18.11,,,,,,,,
Edelweiss Mid Cap Fund-Reg(G),3790,Edelweiss Mutual Fund,2.27,6.98,26.02,60.13,Nifty Midcap 150 - TRI,25.09,31.7,20.84,40.51,4,4,4,3,2,5,3,2,Edelweiss Mid Cap Fund-Reg(G),Equity : Mid Cap,30,30,30,30,30,25,23,20,32.33,0.3,3.98,20.68,47.84,21.86,28.57,18.48,,,,,,,,
Aditya Birla SL Balanced Advantage Fund(G),1713,Aditya Birla Sun Life Mutual Fund,0.58,3.71,11.05,23.72,CRISIL Hybrid 50+50 - Moderate Index,11.7,14.24,11.37,16.41,8,10,7,6,12,11,6,4,Aditya Birla SL Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,30,33,32,32,27,21,18,10,15.44,0.07,2.6,8.95,24.46,12.08,13.81,10.68,,,,,,,,
Bandhan Money Manager Fund-Reg(G),1052,Bandhan Mutual Fund,0.67,1.78,3.41,7.02,Nifty Money Market Index,5.63,5.08,6.13,5.62,20,4,17,20,20,18,15,12,Bandhan Money Manager Fund-Reg(G),Debt : Money Market,22,22,22,22,22,19,16,13,5.85,0.65,1.8,3.54,7.38,6.06,5.65,6.64,,,,,,,,
Kotak Equity Savings Fund(G),30690,Kotak Mahindra Mutual Fund,-0.16,2.72,7.43,19.58,NIFTY 50 Equity Savings Index - TRI,11.97,12.03,,12.53,35,41,29,39,33,24,33,,Kotak Equity Savings Fund(G),Hybrid : Equity Oriented,55,55,55,55,55,52,51,24,15.61,0.2,2.78,9.65,23.31,11.24,14.09,11.42,,,,,,,,
Kotak Multi Asset Allocation Fund-Reg(G),48028,Kotak Mahindra Mutual Fund,0.66,2.11,10.98,29.89,NIFTY 500 - TRI,,,,19.67,7,16,19,8,7,,,,Kotak Multi Asset Allocation Fund-Reg(G),Hybrid : Multi Asset Allocation,17,26,25,24,17,10,7,7,18.16,0.74,2.64,9.53,28.33,15.29,19.09,12.84,,,,,,,,
HDFC Credit Risk Debt Fund-(G),21538,HDFC Mutual Fund,0.75,2.55,4.36,8.62,NIFTY Credit Risk Bond Index,6.06,7.43,7.9,6.89,4,10,4,4,6,11,5,2,HDFC Credit Risk Debt Fund-(G),Debt : Credit Risk,15,15,15,15,15,15,15,10,6.45,0.69,2.2,4.13,8.87,8.57,6.42,6.57,,,,,,,,
Bandhan ELSS Tax Saver Fund-Reg(G),7433,Bandhan Mutual Fund,-0.7,2.53,10.9,31.26,BSE 500 - TRI,16.7,24.96,16.65,20.13,43,42,46,50,48,31,18,5,Bandhan ELSS Tax Saver Fund-Reg(G),Equity : Tax Saving (ELSS),59,59,59,59,59,54,53,27,24.45,0.04,3.69,15.56,38.3,18.02,23.52,15.05,0.18,2.65,13.42,36.48,16.36,22.18,,28.24
Nippon India Ultra Short Duration Fund(G),2615,Nippon India Mutual Fund,0.63,1.74,3.47,7.15,CRISIL Ultra Short Term Debt Index,5.93,6.25,5.96,5.7,12,12,13,12,13,9,1,9,Nippon India Ultra Short Duration Fund(G),Debt : Ultra Short Duration,24,25,24,24,24,24,19,13,5.61,0.63,1.73,3.42,7.06,5.73,5.34,6.31,0.67,1.93,3.82,,,,,7.77
Franklin India ELSS Tax Saver Fund(G),957,Franklin Templeton Mutual Fund,-0.29,3.64,14.7,40.75,NIFTY 500 - TRI,19.71,22.29,15.36,25.33,21,35,34,36,20,18,28,10,Franklin India ELSS Tax Saver Fund(G),Equity : Tax Saving (ELSS),59,59,59,59,59,54,53,27,24.45,0.04,3.69,15.56,38.3,18.02,23.52,15.05,,,,,,,,
Bandhan CRISIL IBX Gilt June 2027 Index Fund-Reg(G),45412,Bandhan Mutual Fund,0.74,2.28,4.36,8.86,CRISIL IBX Gilt Index - June 2027,5.36,,,6.31,32,34,33,32,31,21,,,Bandhan CRISIL IBX Gilt June 2027 Index Fund-Reg(G),Debt : Gilt,35,36,36,35,35,23,21,21,7.7,0.96,2.78,5.21,10.4,5.83,6.32,7.78,,,,,,,,
ICICI Pru Nifty Next 50 Index Fund(G),11889,ICICI Prudential Mutual Fund,0.61,1.85,18.8,67.16,NIFTY NEXT 50 - TRI,20.28,22.99,16.11,41.26,1,17,97,14,1,9,5,1,ICICI Pru Nifty Next 50 Index Fund(G),Equity : Index Funds,105,140,128,115,101,47,27,18,25.14,-0.14,2.76,14.47,42.08,15.68,19.68,12.99,,,,,,,,
Nippon India Short Term Fund(G),2664,Nippon India Mutual Fund,0.87,2.41,4.17,8.41,CRISIL Short Duration Debt Index,5.71,6.41,7.17,6.48,5,6,3,8,6,8,7,5,Nippon India Short Term Fund(G),Debt : Short Duration,25,26,26,26,25,23,21,19,6.01,0.78,2.17,3.93,7.81,5.84,6.15,6.8,,,,,,,,
ICICI Pru Manufacturing Fund(G),32077,ICICI Prudential Mutual Fund,0.87,-0.83,15.23,56.13,Nifty India Manufacturing - TRI,27.56,29.28,,33.1,14,23,61,35,8,5,3,,ICICI Pru Manufacturing Fund(G),Equity : Thematic,56,76,70,60,52,34,16,9,28.14,0.27,3.26,15.94,44.22,18.92,24.46,15.38,,,,,,,,
Nippon India Low Duration Fund(G),2621,Nippon India Mutual Fund,0.73,1.91,3.59,7.33,CRISIL Low Duration Debt Index,5.8,5.97,6.78,5.88,11,3,5,16,13,11,6,8,Nippon India Low Duration Fund(G),Debt : Low Duration,20,20,20,20,20,20,20,18,5.89,0.7,1.89,3.64,7.39,5.8,5.95,6.55,0.69,1.99,3.89,,,,,7.86
Nippon India ETF Nifty Bank BeES,267,Nippon India Mutual Fund,0.48,-1.06,6.0,16.94,NIFTY BANK - TRI,11.58,13.07,13.01,6.71,135,47,141,138,133,69,56,18,Nippon India ETF Nifty Bank BeES,Equity : ETFs,141,163,155,149,139,84,60,24,22.93,0.57,3.63,13.81,37.87,15.94,20.19,13.29,,,,,,,,
SBI Magnum Global Fund-Reg(G),2766,SBI Mutual Fund,-0.86,0.82,10.74,12.91,NIFTY MNC - TRI,9.95,17.3,12.75,9.43,5,5,5,5,5,4,2,3,SBI Magnum Global Fund-Reg(G),Equity : Thematic - MNC,5,5,5,5,5,4,4,3,21.25,0.46,2.36,17.44,29.17,13.59,18.4,13.08,,,,,,,,
Bandhan Arbitrage Fund-Reg(G),2854,Bandhan Mutual Fund,0.5,1.66,3.49,7.51,Nifty 50 Arbitrage,5.97,5.09,5.79,6.01,9,2,4,6,8,10,16,11,Bandhan Arbitrage Fund-Reg(G),Hybrid : Arbitrage,26,27,26,26,25,24,22,14,5.87,0.45,1.59,3.37,7.31,5.8,5.03,5.84,0.2,1.14,2.93,7.16,6.14,5.0,,6.98
BHARAT Bond FOF - April 2030 -Reg(G),44426,Edelweiss Mutual Fund,1.25,2.96,4.81,9.97,NIFTY BHARAT Bond Index - April 2030,6.46,,,7.67,48,20,22,49,47,32,,,BHARAT Bond FOF - April 2030 -Reg(G),FoFs : Domestic,53,60,57,56,53,39,25,22,17.05,1.48,2.31,9.42,26.03,12.83,15.04,11.04,,,,,,,,
Axis Multicap Fund-Reg(G),45362,Axis Mutual Fund,1.4,7.02,22.9,51.29,Nifty500 Multicap 50:25:25 - TRI,,,,34.47,1,9,6,2,1,,,,Axis Multicap Fund-Reg(G),Equity : Multi Cap,36,40,38,37,35,24,19,13,26.34,0.24,4.64,16.63,40.21,17.26,22.55,15.57,,,,,,,,
SBI Automotive Opportunities Fund-Reg(G),48475,SBI Mutual Fund,1.66,4.66,,,NIFTY AUTO - TRI,,,,,,5,5,,,,,,SBI Automotive Opportunities Fund-Reg(G),Equity : Sectoral - Auto,6,8,8,6,5,1,1,1,38.59,1.9,4.1,19.93,57.44,28.76,26.63,14.1,,,,,,,,
Aditya Birla SL Pure Value Fund(G),4453,Aditya Birla Sun Life Mutual Fund,0.47,4.94,14.28,41.42,NIFTY 500 - TRI,20.67,24.55,14.86,25.54,13,4,6,15,11,12,9,12,Aditya Birla SL Pure Value Fund(G),Equity : Value / Contra,22,22,22,22,22,20,17,14,26.67,-0.62,3.21,15.27,44.16,20.65,24.94,16.59,,,,,,,,
ICICI Pru Midcap Fund(G),1499,ICICI Prudential Mutual Fund,1.0,2.11,19.22,53.7,Nifty Midcap 150 - TRI,21.47,27.2,17.19,33.28,13,8,25,20,6,12,14,18,ICICI Pru Midcap Fund(G),Equity : Mid Cap,30,30,30,30,30,25,23,20,32.33,0.3,3.98,20.68,47.84,21.86,28.57,18.48,,,,,,,,
Kotak Equity Hybrid Fund(G),31224,Kotak Mahindra Mutual Fund,0.6,3.77,17.05,33.64,NIFTY 50 Hybrid Composite Debt 65:35 Index,15.95,20.12,,23.77,5,15,13,3,9,8,7,,Kotak Equity Hybrid Fund(G),Hybrid : Equity Oriented,55,55,55,55,55,52,51,24,15.61,0.2,2.78,9.65,23.31,11.24,14.09,11.42,,,,,,,,
PGIM India Flexi Cap Fund-Reg(G),31642,PGIM India Mutual Fund,-0.25,4.38,12.24,30.15,NIFTY 500 - TRI,10.02,22.74,,19.15,39,32,17,40,39,32,7,,PGIM India Flexi Cap Fund-Reg(G),Equity : Flexi Cap,46,48,48,47,45,33,26,19,25.36,0.18,3.73,15.67,39.54,16.58,21.29,15.24,,,,,,,,
ICICI Pru Innovation Fund-Reg(G),47918,ICICI Prudential Mutual Fund,0.66,3.79,20.09,55.77,NIFTY 500 - TRI,,,,35.92,11,27,33,12,9,,,,ICICI Pru Innovation Fund-Reg(G),Equity : Thematic,56,76,70,60,52,34,16,9,28.14,0.27,3.26,15.94,44.22,18.92,24.46,15.38,,,,,,,,
ICICI Pru Gilt Fund(G),1606,ICICI Prudential Mutual Fund,0.82,2.47,4.55,8.88,Nifty All Duration G-Sec Index,6.39,7.33,8.46,6.77,27,28,27,26,29,3,1,3,ICICI Pru Gilt Fund(G),Debt : Gilt,35,36,36,35,35,23,21,21,7.7,0.96,2.78,5.21,10.4,5.83,6.32,7.78,,,,,,,,
HSBC Corporate Bond Fund-Reg(G),631,HSBC Mutual Fund,0.9,2.55,4.4,8.64,NIFTY Corporate Bond Index,5.42,6.76,7.27,6.84,7,14,7,9,7,12,6,8,HSBC Corporate Bond Fund-Reg(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,6.63,0.92,2.45,4.33,8.4,5.68,6.48,7.27,,,,,,,,
Axis India Manufacturing Fund-Reg(G),48253,Axis Mutual Fund,2.09,3.6,23.19,,Nifty India Manufacturing - TRI,,,,43.78,2,10,34,4,,,,,Axis India Manufacturing Fund-Reg(G),Equity : Thematic,56,76,70,60,52,34,16,9,28.14,0.27,3.26,15.94,44.22,18.92,24.46,15.38,,,,,,,,
Kotak ELSS Tax Saver Fund(G),2075,Kotak Mahindra Mutual Fund,-0.04,0.61,12.86,36.13,NIFTY 500 - TRI,18.34,22.53,16.43,25.72,19,28,53,44,34,23,27,6,Kotak ELSS Tax Saver Fund(G),Equity : Tax Saving (ELSS),59,59,59,59,59,54,53,27,24.45,0.04,3.69,15.56,38.3,18.02,23.52,15.05,,,,,,,,
Motilal Oswal Large & Midcap Fund-Reg(G),42803,Motilal Oswal Mutual Fund,5.29,14.49,29.56,62.55,NIFTY LargeMidcap 250 - TRI,27.24,,,45.13,1,1,1,1,1,1,,,Motilal Oswal Large & Midcap Fund-Reg(G),Equity : Large & Mid Cap,27,29,29,29,26,26,22,18,28.05,0.16,4.01,16.95,42.73,18.5,23.46,16.28,,,,,,,,
Invesco India Large & Mid Cap Fund(G),2235,Invesco Mutual Fund,2.07,7.94,23.8,58.14,NIFTY LargeMidcap 250 - TRI,21.61,23.29,16.87,38.81,2,4,2,2,2,7,15,7,Invesco India Large & Mid Cap Fund(G),Equity : Large & Mid Cap,27,29,29,29,26,26,22,18,28.05,0.16,4.01,16.95,42.73,18.5,23.46,16.28,,,,,,,,
ICICI Pru Credit Risk Fund(G),12456,ICICI Prudential Mutual Fund,0.81,2.64,4.66,9.29,CRISIL Credit Risk Debt Index,6.86,7.61,7.95,7.09,3,4,3,3,5,4,4,1,ICICI Pru Credit Risk Fund(G),Debt : Credit Risk,15,15,15,15,15,15,15,10,6.45,0.69,2.2,4.13,8.87,8.57,6.42,6.57,,,,,,,,
ICICI Pru Infrastructure Fund(G),1629,ICICI Prudential Mutual Fund,-0.47,1.15,13.74,56.27,BSE India Infrastructure Index - TRI,33.55,32.84,18.19,34.85,7,13,2,12,7,1,2,7,ICICI Pru Infrastructure Fund(G),Equity : Sectoral - Infrastructure,19,19,19,19,19,19,19,18,34.69,0.03,-1.06,16.56,54.83,28.66,29.49,17.48,-1.56,-6.39,,,,,,17.55
SBI Banking & Financial Services Fund-Reg(G),30125,SBI Mutual Fund,0.47,1.26,10.8,32.47,Nifty Financial Services - TRI,14.07,16.26,,19.09,5,13,11,7,4,5,4,,SBI Banking & Financial Services Fund-Reg(G),Equity : Sectoral - Financial Services,18,21,21,20,17,13,11,8,14.11,0.67,1.93,9.59,25.68,14.25,15.52,14.09,,,,,,,,
Nippon India Banking & Financial Services Fund(G),2445,Nippon India Mutual Fund,-0.27,2.21,9.68,24.81,Nifty Financial Services - TRI,16.88,17.93,14.41,13.28,11,16,10,12,9,2,2,5,Nippon India Banking & Financial Services Fund(G),Equity : Sectoral - Financial Services,18,21,21,20,17,13,11,8,14.11,0.67,1.93,9.59,25.68,14.25,15.52,14.09,,,,,,,,
HDFC Dividend Yield Fund-Reg(G),45197,HDFC Mutual Fund,-0.8,2.42,14.38,39.24,NIFTY 500 - TRI,21.5,,,23.21,6,9,7,5,7,5,,,HDFC Dividend Yield Fund-Reg(G),Equity : Thematic - Dividend Yield,9,9,9,9,9,8,6,5,27.18,-0.08,3.65,16.01,44.63,21.05,25.63,15.5,,,,,,,,
Aditya Birla SL Equity Advantage Fund(G),277,Aditya Birla Sun Life Mutual Fund,-0.59,2.55,14.97,33.12,NIFTY LargeMidcap 250 - TRI,9.43,18.97,14.35,21.1,25,19,24,21,24,26,22,15,Aditya Birla SL Equity Advantage Fund(G),Equity : Large & Mid Cap,27,29,29,29,26,26,22,18,28.05,0.16,4.01,16.95,42.73,18.5,23.46,16.28,,,,,,,,
UTI Aggressive Hybrid Fund-Reg(G),3437,UTI Mutual Fund,-0.32,4.13,14.88,33.64,CRISIL Hybrid 35+65 - Aggressive Index,17.03,20.56,13.09,22.41,9,46,6,7,8,4,6,8,UTI Aggressive Hybrid Fund-Reg(G),Hybrid : Equity Oriented,55,55,55,55,55,52,51,24,15.61,0.2,2.78,9.65,23.31,11.24,14.09,11.42,,,,,,,,
