MF Code,incept_date,schemecode,sdx_returns,sharpex_returns,sotinox_returns,betax_returns,alphax_returns,treynorx_returns,sdy_returns,sharpey_returns,sotinoy_returns,betay_returns,alphay_returns,treynory_returns,rank_sd,rank_sharpe,rank_sotino,rank_beta,rank_alpha,rank_treynor,index_name,s_name,avg_std_dev,avg_sharpe,avg_sotino,avg_beta,avg_alpha,avg_treyno,no_of_funds_total
Invesco India Large & Mid Cap Fund(G),2007-08-09,2235,15.3,2.58,3.94,0.92,21.47,43.02,0.96,0.16,0.25,0.92,0.09,0.17,16,2,1,9,2,2,NIFTY LargeMidcap 250 - TRI,Invesco India Large & Mid Cap Fund(G),15.24,2.1,3.06,0.94,13.17,33.64,26
ICICI Pru Credit Risk Fund(G),2010-12-03,12456,1.12,4.48,8.39,0.25,4.06,20.49,0.07,0.28,0.53,0.25,0.02,0.08,11,9,12,7,2,6,CRISIL Credit Risk Debt Index,ICICI Pru Credit Risk Fund(G),1.04,5.0,10.9,0.29,3.04,-6.19,15
Aditya Birla SL Midcap Fund(G),2002-10-03,417,15.4,2.15,3.21,0.87,16.18,38.28,0.97,0.14,0.2,0.87,0.06,0.15,7,15,13,8,19,17,Nifty Midcap 150 - TRI,Aditya Birla SL Midcap Fund(G),16.4,2.13,3.17,0.92,16.88,38.14,30
ICICI Pru Infrastructure Fund(G),2005-08-31,1629,17.62,2.34,3.24,1.08,20.06,38.18,1.11,0.15,0.2,1.08,0.08,0.15,2,2,3,7,6,7,BSE India Infrastructure Index - TRI,ICICI Pru Infrastructure Fund(G),19.36,2.03,2.84,1.1,17.6,35.7,19
SBI Banking & Financial Services Fund-Reg(G),2015-02-26,30125,16.37,1.71,2.47,1.07,7.36,26.31,1.03,0.11,0.16,1.07,0.03,0.1,9,2,2,8,3,3,Nifty Financial Services - TRI,SBI Banking & Financial Services Fund-Reg(G),16.48,1.3,1.9,1.05,0.82,20.43,17
Nippon India Banking & Financial Services Fund(G),2003-05-26,2445,15.31,1.33,1.94,1.01,0.5,20.08,0.96,0.08,0.12,1.01,0.0,0.08,2,8,8,4,8,8,Nifty Financial Services - TRI,Nippon India Banking & Financial Services Fund(G),16.48,1.3,1.9,1.05,0.82,20.43,17
HDFC Dividend Yield Fund-Reg(G),2020-12-18,45197,15.4,1.98,2.81,1.02,10.41,29.79,0.97,0.12,0.18,1.02,0.04,0.12,4,6,7,7,6,6,NIFTY 500 - TRI,HDFC Dividend Yield Fund-Reg(G),15.32,2.17,3.15,0.95,13.92,34.1,9
Aditya Birla SL Equity Advantage Fund(G),1995-02-24,277,15.38,1.61,2.24,0.99,5.44,25.12,0.97,0.1,0.14,0.99,0.02,0.1,17,23,24,20,25,25,NIFTY LargeMidcap 250 - TRI,Aditya Birla SL Equity Advantage Fund(G),15.24,2.1,3.06,0.94,13.17,33.64,26
UTI Aggressive Hybrid Fund-Reg(G),1995-01-02,3437,10.13,2.52,3.72,1.63,19.25,15.67,0.64,0.16,0.23,1.63,0.08,0.06,35,11,15,34,6,17,CRISIL Hybrid 35+65 - Aggressive Index,UTI Aggressive Hybrid Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
Aditya Birla SL India GenNext Fund(G),2005-08-05,409,11.57,2.27,3.82,0.71,12.27,36.84,0.73,0.14,0.24,0.71,0.05,0.15,3,11,10,12,14,14,Nifty India Consumption - TRI,Aditya Birla SL India GenNext Fund(G),12.34,2.26,3.83,0.65,15.18,42.93,15
SBI Multi Asset Allocation Fund-Reg(G),2005-11-30,2796,8.1,2.43,3.78,0.8,16.61,24.7,0.51,0.15,0.24,0.8,0.07,0.1,6,8,8,2,9,2,BSE 500 - TRI,SBI Multi Asset Allocation Fund-Reg(G),8.9,2.41,3.7,1.49,15.76,0.39,17
HDFC Retirement Savings Fund-Equity Plan-Reg(G),2016-02-25,24803,12.33,2.21,3.2,1.87,20.01,14.57,0.78,0.14,0.2,1.87,0.08,0.06,27,16,17,30,6,9,NIFTY 500 - TRI,HDFC Retirement Savings Fund-Equity Plan-Reg(G),9.32,2.27,3.54,1.66,13.4,12.58,39
DSP Arbitrage Fund-Reg(G),2018-01-25,30760,1.04,2.97,6.46,-0.14,3.65,-21.67,0.07,0.19,0.41,-0.14,0.01,-0.09,20,15,15,5,14,8,Nifty 50 Arbitrage,DSP Arbitrage Fund-Reg(G),1.02,3.0,6.67,-0.12,3.56,-23.43,25
SBI ESG Exclusionary Strategy Fund-Reg(G),1991-01-01,2752,12.69,1.9,2.88,0.89,6.8,27.04,0.8,0.12,0.18,0.89,0.03,0.11,15,35,31,24,44,44,NIFTY100 ESG - TRI,SBI ESG Exclusionary Strategy Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
Axis Corp Bond Fund-Reg(G),2017-07-13,36744,0.76,5.49,10.1,0.37,2.75,11.26,0.05,0.35,0.64,0.37,0.01,0.04,11,11,15,12,14,14,NIFTY Corporate Bond Index,Axis Corp Bond Fund-Reg(G),0.74,5.68,10.98,0.34,2.81,12.74,21
Axis Treasury Advantage Fund-Reg(G),2009-10-09,8032,0.33,10.74,21.5,0.06,3.33,59.17,0.02,0.68,1.35,0.06,0.01,0.23,8,2,3,8,3,7,NIFTY Low Duration Debt Index,Axis Treasury Advantage Fund-Reg(G),0.34,9.87,19.94,0.06,3.08,57.83,20
HDFC Gold ETF,2010-08-13,12319,13.59,1.49,2.24,0.44,18.5,45.79,0.86,0.09,0.14,0.44,0.07,0.18,12,12,18,8,21,8,Gold-India,HDFC Gold ETF,17.09,1.49,2.45,1.02,20.32,41.43,22
Kotak Overnight Fund-Reg(G),2019-01-15,41944,0.13,7.96,10.81,0.0,1.03,-883.51,0.01,0.5,0.68,0.0,0.0,-3.51,30,31,4,7,5,29,Nifty 1D Rate Index,Kotak Overnight Fund-Reg(G),0.04,24.86,4.05,0.0,0.47,424.97,35
UTI Arbitrage Fund-Reg(G),2006-06-29,3660,1.03,3.25,7.21,-0.13,3.86,-25.12,0.06,0.2,0.45,-0.13,0.02,-0.1,18,6,8,12,3,17,Nifty 50 Arbitrage,UTI Arbitrage Fund-Reg(G),1.02,3.0,6.67,-0.12,3.56,-23.43,25
ICICI Pru Medium Term Bond Fund(G),2004-09-15,1667,0.9,4.67,9.14,0.47,2.34,8.87,0.06,0.29,0.58,0.47,0.01,0.04,21,20,21,22,22,24,NIFTY Medium Duration Debt Index,ICICI Pru Medium Term Bond Fund(G),0.83,5.57,12.1,0.35,2.85,18.32,30
BHARAT Bond ETF - April 2033,2022-12-13,47283,1.36,4.82,8.86,0.55,4.38,11.89,0.09,0.3,0.56,0.55,0.02,0.05,16,13,10,14,3,10,NIFTY BHARAT Bond Index - April 2033,BHARAT Bond ETF - April 2033,0.92,5.17,9.33,0.42,2.31,-21.69,20
Invesco India Midcap Fund(G),2007-04-19,2259,16.24,2.46,3.82,0.86,23.03,46.24,1.02,0.16,0.24,0.86,0.09,0.18,16,5,2,7,3,2,BSE 150 MidCap - TRI,Invesco India Midcap Fund(G),16.4,2.13,3.17,0.92,16.88,38.14,30
Aditya Birla SL PSU Equity Fund-Reg(G),2019-12-30,43788,26.29,1.7,2.31,1.44,16.66,31.17,1.66,0.11,0.15,1.44,0.07,0.12,50,45,46,53,17,35,BSE PSU - TRI,Aditya Birla SL PSU Equity Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
HSBC Aggressive Hybrid Fund-Reg(G),2011-02-07,13017,14.27,1.68,2.35,2.57,14.11,9.37,0.9,0.11,0.15,2.57,0.06,0.04,54,51,51,55,21,53,NIFTY 50 Hybrid Composite Debt 65:35 Index,HSBC Aggressive Hybrid Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
HDFC Banking and PSU Debt Fund-Reg(G),2014-03-26,23913,0.71,5.66,10.8,0.33,2.72,12.25,0.04,0.36,0.68,0.33,0.01,0.05,13,13,14,15,16,15,NIFTY Banking and PSU Debt Index,HDFC Banking and PSU Debt Fund-Reg(G),0.71,5.77,11.63,0.3,2.77,14.73,25
Kotak Banking and PSU Debt Fund(G),1998-12-29,2044,0.88,4.82,8.76,0.42,2.6,10.11,0.06,0.3,0.55,0.42,0.01,0.04,22,21,24,22,21,22,CRISIL Banking and PSU Debt Index,Kotak Banking and PSU Debt Fund(G),0.71,5.77,11.63,0.3,2.77,14.73,25
Nippon India ETF Nifty Next 50 Junior BeES,2003-02-21,2273,19.76,2.33,3.37,1.14,24.22,40.35,1.24,0.15,0.21,1.14,0.1,0.16,120,25,44,115,16,36,NIFTY NEXT 50 - TRI,Nippon India ETF Nifty Next 50 Junior BeES,16.6,1.82,2.93,1.1,11.73,34.92,141
DSP India T.I.G.E.R Fund-Reg(G),2004-06-11,698,19.61,2.26,3.13,1.05,23.74,42.26,1.24,0.14,0.2,1.05,0.09,0.17,11,4,4,5,3,2,BSE India Infrastructure Index - TRI,DSP India T.I.G.E.R Fund-Reg(G),19.36,2.03,2.84,1.1,17.6,35.7,19
Nippon India Vision Fund(G),1995-10-08,2669,14.89,2.36,3.43,0.96,16.2,36.41,0.94,0.15,0.22,0.96,0.06,0.14,11,7,7,12,8,7,NIFTY LargeMidcap 250 - TRI,Nippon India Vision Fund(G),15.24,2.1,3.06,0.94,13.17,33.64,26
UTI ULIP(G),1971-10-01,3662,4.81,2.45,4.19,1.13,7.43,10.46,0.3,0.15,0.26,1.13,0.03,0.04,1,1,1,1,1,1,NIFTY 50 Hybrid Composite Debt 50:50 Index,UTI ULIP(G),4.81,2.45,4.19,1.13,7.43,10.46,1
Franklin India Opportunities Fund(G),2000-02-21,946,15.34,2.98,4.38,0.87,28.68,52.67,0.97,0.19,0.28,0.87,0.11,0.21,30,2,4,21,2,2,NIFTY 500 - TRI,Franklin India Opportunities Fund(G),15.92,2.07,3.1,0.93,13.57,34.29,53
Axis Arbitrage Fund-Reg(G),2014-08-14,30097,0.96,3.36,7.75,-0.13,3.73,-24.62,0.06,0.21,0.49,-0.13,0.01,-0.1,2,3,2,13,9,16,Nifty 50 Arbitrage,Axis Arbitrage Fund-Reg(G),1.02,3.0,6.67,-0.12,3.56,-23.43,25
Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,2021-03-30,45426,0.57,7.38,16.99,0.13,3.7,32.13,0.04,0.47,1.07,0.13,0.01,0.13,10,6,4,10,5,5,Nifty SDL Apr 2026 Top 20 Equal Weight Index,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,0.92,5.17,9.33,0.42,2.31,-21.69,20
Sundaram Aggressive Hybrid Fund(G),2000-01-14,2321,10.07,2.19,3.26,1.72,15.42,12.83,0.63,0.14,0.21,1.72,0.06,0.05,34,29,29,42,14,35,CRISIL Hybrid 35+65 - Aggressive Index,Sundaram Aggressive Hybrid Fund(G),7.87,2.17,3.3,1.25,12.62,14.78,53
Mahindra Manulife Small Cap Fund-Reg(G),2022-12-12,37922,19.18,2.0,2.8,0.99,18.9,38.63,1.21,0.13,0.18,0.99,0.08,0.15,22,7,9,22,6,8,BSE 250 Small Cap - TRI,Mahindra Manulife Small Cap Fund-Reg(G),16.44,1.9,2.74,0.83,15.09,37.85,24
Aditya Birla SL Small Cap Fund(G),2007-05-31,477,16.56,1.62,2.32,0.84,10.28,31.78,1.04,0.1,0.15,0.84,0.04,0.13,13,22,23,15,21,23,BSE 250 Small Cap - TRI,Aditya Birla SL Small Cap Fund(G),16.44,1.9,2.74,0.83,15.09,37.85,24
Kotak Nifty Bank ETF,2014-12-04,30020,17.23,0.96,1.44,1.11,-4.79,14.92,1.09,0.06,0.09,1.11,-0.02,0.06,94,128,126,109,134,125,NIFTY BANK - TRI,Kotak Nifty Bank ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
SBI Gold ETF,2009-05-18,7741,12.2,1.69,2.61,0.45,18.82,45.51,0.77,0.11,0.16,0.45,0.07,0.18,6,7,8,9,19,9,Gold-India,SBI Gold ETF,17.09,1.49,2.45,1.02,20.32,41.43,22
SBI Equity Savings Fund-Reg(G),2015-05-27,32901,4.83,2.17,3.26,0.56,8.37,18.85,0.3,0.14,0.21,0.56,0.03,0.07,15,30,28,9,41,6,NIFTY 50 Equity Savings Index,SBI Equity Savings Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
Invesco India Smallcap Fund-Reg(G),2018-10-30,40339,17.18,2.18,3.14,0.84,20.97,44.58,1.08,0.14,0.2,0.84,0.08,0.18,17,3,3,14,3,3,BSE 250 Small Cap - TRI,Invesco India Smallcap Fund-Reg(G),16.44,1.9,2.74,0.83,15.09,37.85,24
Sundaram Liquid Fund(G),2004-08-30,2323,0.07,10.48,5.42,0.0,0.73,-320.27,0.0,0.66,0.34,0.0,0.0,-1.27,18,23,28,14,32,13,Nifty Liquid Fund Index,Sundaram Liquid Fund(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
Nippon India Banking & PSU Debt Fund(G),2015-05-15,13656,0.81,5.04,9.45,0.4,2.49,10.11,0.05,0.32,0.6,0.4,0.01,0.04,18,17,20,21,22,23,CRISIL Banking and PSU Debt Index,Nippon India Banking & PSU Debt Fund(G),0.71,5.77,11.63,0.3,2.77,14.73,25
HDFC Equity Savings Fund(G),2004-09-17,1309,4.81,2.6,3.77,0.87,9.1,14.31,0.3,0.16,0.24,0.87,0.04,0.06,14,9,12,22,37,25,NIFTY 50 Equity Savings Index - TRI,HDFC Equity Savings Fund(G),7.87,2.17,3.3,1.25,12.62,14.78,53
Aditya Birla SL Digital India Fund(G),2000-01-15,482,15.89,1.67,3.3,0.74,12.12,36.06,1.0,0.11,0.21,0.74,0.05,0.14,4,6,6,2,6,6,BSE TECk Index - TRI,Aditya Birla SL Digital India Fund(G),16.13,2.05,3.94,0.78,17.84,43.41,7
Axis Ultra Short Duration Fund-Reg(G),2018-09-10,29356,0.3,9.89,20.92,0.01,2.87,224.58,0.02,0.62,1.32,0.01,0.01,0.89,12,15,14,5,14,6,NIFTY Ultra Short Duration Debt Index,Axis Ultra Short Duration Fund-Reg(G),0.3,10.08,20.95,0.01,2.94,202.13,24
Bandhan Low Duration Fund-Reg(G),2006-01-17,2902,0.34,9.61,19.54,0.07,3.0,47.48,0.02,0.61,1.23,0.07,0.01,0.19,14,13,13,18,13,18,NIFTY Low Duration Debt Index,Bandhan Low Duration Fund-Reg(G),0.34,9.87,19.94,0.06,3.08,57.83,20
DSP Low Duration Fund-Reg(G),2015-03-10,17625,0.33,9.87,19.88,0.06,3.05,53.3,0.02,0.62,1.25,0.06,0.01,0.21,11,11,10,14,11,12,NIFTY Low Duration Debt Index,DSP Low Duration Fund-Reg(G),0.34,9.87,19.94,0.06,3.08,57.83,20
HSBC Flexi Cap Fund-Reg(G),2004-02-24,1441,15.3,2.27,3.31,1.0,15.22,34.85,0.96,0.14,0.21,1.0,0.06,0.14,30,12,14,32,12,13,NIFTY 500 - TRI,HSBC Flexi Cap Fund-Reg(G),14.68,2.02,2.98,0.94,11.13,31.53,45
SBI Infrastructure Fund-Reg(G),2007-07-06,2743,14.87,2.39,3.45,0.9,18.09,39.56,0.94,0.15,0.22,0.9,0.07,0.16,1,1,1,1,8,5,Nifty Infrastructure - TRI,SBI Infrastructure Fund-Reg(G),19.36,2.03,2.84,1.1,17.6,35.7,19
ICICI Pru Dividend Yield Equity Fund(G),2014-05-16,17588,13.73,2.61,3.8,0.92,17.77,38.91,0.87,0.16,0.24,0.92,0.07,0.15,2,2,2,3,3,3,NIFTY 500 - TRI,ICICI Pru Dividend Yield Equity Fund(G),15.32,2.17,3.15,0.95,13.92,34.1,9
Edelweiss Liquid Fund-Reg(G),2008-09-16,6688,0.07,10.91,5.41,0.0,0.76,-531.52,0.0,0.69,0.34,0.0,0.0,-2.11,14,14,30,33,21,33,CRISIL Liquid Debt Index,Edelweiss Liquid Fund-Reg(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
Motilal Oswal Nasdaq 100 FOF-Reg(G),2018-11-29,41322,15.88,2.12,3.53,2.25,25.02,15.02,1.0,0.13,0.22,2.25,0.1,0.06,30,19,21,46,24,34,Nasdaq-100,Motilal Oswal Nasdaq 100 FOF-Reg(G),16.21,1.74,3.0,1.48,21.41,18.29,57
ICICI Pru Gold ETF,2010-08-24,12328,12.25,1.79,2.78,0.41,20.26,53.22,0.77,0.11,0.18,0.41,0.08,0.21,7,4,6,6,10,6,Gold-India,ICICI Pru Gold ETF,17.09,1.49,2.45,1.02,20.32,41.43,22
ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G),2018-07-13,36398,12.25,3.81,7.02,0.46,37.72,101.91,0.77,0.24,0.44,0.46,0.15,0.4,6,2,2,11,2,5,BSE Health Care - TRI,ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G),12.89,3.33,6.06,0.45,33.8,97.39,13
UTI Nifty Next 50 Index Fund-Reg(G),2018-06-28,38439,19.8,2.3,3.33,1.14,23.26,39.94,1.25,0.15,0.21,1.14,0.09,0.16,85,9,13,92,5,11,NIFTY NEXT 50 - TRI,UTI Nifty Next 50 Index Fund-Reg(G),16.72,1.86,2.81,1.05,11.36,31.35,102
Tata ELSS Tax Saver Fund-Reg(G),2014-10-13,31025,14.91,1.9,2.68,1.0,8.62,28.17,0.94,0.12,0.17,1.0,0.03,0.11,35,34,39,49,38,44,NIFTY 500 - TRI,Tata ELSS Tax Saver Fund-Reg(G),14.61,1.97,2.91,0.91,10.82,31.54,59
Kotak Gold ETF,2007-07-27,2050,12.19,1.8,2.8,0.42,20.26,52.32,0.77,0.11,0.18,0.42,0.08,0.21,5,2,4,7,9,7,Gold-India,Kotak Gold ETF,17.09,1.49,2.45,1.02,20.32,41.43,22
Mahindra Manulife Multi Cap Fund-Reg(G),2017-05-11,36401,18.68,1.69,2.31,1.09,10.03,28.78,1.18,0.11,0.15,1.09,0.04,0.11,36,32,33,36,28,31,Nifty500 Multicap 50:25:25 - TRI,Mahindra Manulife Multi Cap Fund-Reg(G),14.74,2.07,3.04,0.91,12.25,33.15,36
HDFC Long Duration Debt Fund-Reg(G),2023-01-20,45991,3.42,2.62,4.75,1.82,1.79,4.91,0.22,0.17,0.3,1.82,0.01,0.02,20,16,14,20,16,17,NIFTY Long Duration Debt Index,HDFC Long Duration Debt Fund-Reg(G),2.35,3.06,5.79,1.2,2.35,6.34,20
UTI Overnight Fund-Reg(G),2003-12-09,3574,0.01,39.33,2.46,0.0,0.33,1623.48,0.0,2.48,0.16,0.0,0.0,6.44,11,2,12,25,16,7,CRISIL Liquid Overnight Index,UTI Overnight Fund-Reg(G),0.04,24.86,4.05,0.0,0.47,424.97,35
UTI Retirement Fund,1994-12-27,3650,5.83,2.79,4.13,1.3,11.21,12.5,0.37,0.18,0.26,1.3,0.04,0.05,14,4,7,13,25,17,CRISIL Short Term Debt Hybrid 60+40 Index,UTI Retirement Fund,9.32,2.27,3.54,1.66,13.4,12.58,39
Bandhan CRISIL IBX Gilt April 2028 Index Fund-Reg(G),2021-03-23,45422,0.96,4.73,10.58,0.44,2.8,10.26,0.06,0.3,0.67,0.44,0.01,0.04,7,7,7,7,5,7,CRISIL IBX Gilt Index - April 2028,Bandhan CRISIL IBX Gilt April 2028 Index Fund-Reg(G),1.92,3.29,6.51,0.98,1.67,6.84,35
Invesco India Corporate Bond Fund(G),2007-08-02,2158,0.79,5.43,10.43,0.38,2.77,11.24,0.05,0.34,0.66,0.38,0.01,0.04,14,13,12,15,12,15,NIFTY Corporate Bond Index,Invesco India Corporate Bond Fund(G),0.74,5.68,10.98,0.34,2.81,12.74,21
UTI Childrens Hybrid Fund,1993-07-12,3449,5.41,2.37,3.76,1.28,7.81,9.95,0.34,0.15,0.24,1.28,0.03,0.04,11,15,11,12,31,33,CRISIL Short Term Debt Hybrid 60+40 Index,UTI Childrens Hybrid Fund,9.32,2.27,3.54,1.66,13.4,12.58,39
SBI PSU Fund-Reg(G),2010-07-07,9252,26.52,1.85,2.58,1.4,21.92,35.1,1.67,0.12,0.16,1.4,0.09,0.14,51,37,42,51,5,21,BSE PSU - TRI,SBI PSU Fund-Reg(G),15.92,2.07,3.1,0.93,13.57,34.29,53
UTI Small Cap Fund-Reg(G),2020-12-22,44511,16.17,1.75,2.61,0.82,12.35,34.7,1.02,0.11,0.16,0.82,0.05,0.14,12,19,18,12,16,18,Nifty Smallcap 250 - TRI,UTI Small Cap Fund-Reg(G),16.44,1.9,2.74,0.83,15.09,37.85,24
Tata Overnight Fund-Reg(G),2019-03-27,42706,0.01,29.24,2.19,0.0,0.3,1470.67,0.0,1.84,0.14,0.0,0.0,5.84,16,18,22,22,24,8,CRISIL Liquid Overnight Index,Tata Overnight Fund-Reg(G),0.04,24.86,4.05,0.0,0.47,424.97,35
Tata Mid Cap Growth Fund-Reg(G),1994-07-01,3237,16.74,1.95,2.76,0.95,13.94,34.22,1.05,0.12,0.17,0.95,0.06,0.14,20,24,24,20,21,24,Nifty Midcap 150 - TRI,Tata Mid Cap Growth Fund-Reg(G),16.4,2.13,3.17,0.92,16.88,38.14,30
Nippon India Corp Bond Fund(G),2000-09-14,2646,0.8,5.81,11.09,0.39,3.1,11.79,0.05,0.37,0.7,0.39,0.01,0.05,16,7,7,19,3,10,NIFTY Corporate Bond Index,Nippon India Corp Bond Fund(G),0.74,5.68,10.98,0.34,2.81,12.74,21
DSP Top 100 Equity Fund-Reg(G),2003-03-10,748,12.39,2.46,3.85,0.86,13.56,35.31,0.78,0.15,0.24,0.86,0.05,0.14,3,2,2,6,4,3,BSE 100 - TRI,DSP Top 100 Equity Fund-Reg(G),13.97,1.94,2.92,0.95,8.37,28.52,36
BHARAT Bond FOF - April 2031 -Reg(G),2020-07-23,45013,2.82,2.21,3.89,0.46,4.41,13.53,0.18,0.14,0.25,0.46,0.02,0.05,9,31,25,11,46,37,NIFTY BHARAT Bond Index - April 2031,BHARAT Bond FOF - April 2031 -Reg(G),9.35,2.39,3.9,1.27,14.96,16.81,53
SBI Nifty Bank ETF,2015-03-20,30043,17.13,0.95,1.43,1.11,-4.74,14.69,1.08,0.06,0.09,1.11,-0.02,0.06,83,134,135,110,130,132,NIFTY BANK - TRI,SBI Nifty Bank ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
BHARAT Bond FOF - April 2025 -Reg(G),2020-07-23,45009,1.78,2.01,3.3,0.06,3.35,64.21,0.11,0.13,0.21,0.06,0.01,0.25,4,40,30,3,48,2,NIFTY BHARAT Bond Index - April 2025,BHARAT Bond FOF - April 2025 -Reg(G),9.35,2.39,3.9,1.27,14.96,16.81,53
Franklin India Multi Cap Fund-Reg(G),2024-07-29,48901,,,,,,,,,,,,,,,,,,,Nifty500 Multicap 50:25:25 - TRI,Franklin India Multi Cap Fund-Reg(G),14.74,2.07,3.04,0.91,12.25,33.15,36
JM Flexicap Fund-Reg(G),2008-09-23,6075,17.42,2.36,3.33,1.03,20.94,39.92,1.1,0.15,0.21,1.03,0.08,0.16,42,8,13,37,3,6,BSE 500 - TRI,JM Flexicap Fund-Reg(G),14.68,2.02,2.98,0.94,11.13,31.53,45
BHARAT Bond ETF FOF - April 2032 -Reg(G),2021-12-15,46128,2.79,2.33,4.67,0.21,5.67,30.62,0.18,0.15,0.29,0.21,0.02,0.12,8,27,12,6,43,7,NIFTY BHARAT Bond Index - April 2032,BHARAT Bond ETF FOF - April 2032 -Reg(G),9.35,2.39,3.9,1.27,14.96,16.81,53
UTI Corporate Bond Fund-Reg(G),2018-08-08,39515,0.77,5.34,10.79,0.39,2.55,10.41,0.05,0.34,0.68,0.39,0.01,0.04,12,14,9,20,17,19,NIFTY Corporate Bond Index,UTI Corporate Bond Fund-Reg(G),0.74,5.68,10.98,0.34,2.81,12.74,21
Mirae Asset Great Consumer Fund-Reg(G),2011-03-29,14314,11.85,2.42,4.14,0.65,16.0,44.33,0.75,0.15,0.26,0.65,0.06,0.18,6,5,7,8,7,7,Nifty India Consumption - TRI,Mirae Asset Great Consumer Fund-Reg(G),12.34,2.26,3.83,0.65,15.18,42.93,15
HSBC ELSS Tax saver Fund-Reg(G),2006-02-27,927,17.0,2.15,3.11,1.06,15.78,34.5,1.07,0.14,0.2,1.06,0.06,0.14,54,17,19,58,10,17,NIFTY 500 - TRI,HSBC ELSS Tax saver Fund-Reg(G),14.61,1.97,2.91,0.91,10.82,31.54,59
UTI Dividend Yield Fund-Reg(G),2005-05-03,3454,13.8,2.72,4.14,0.9,19.86,41.71,0.87,0.17,0.26,0.9,0.08,0.17,3,1,1,2,2,1,NIFTY 500 - TRI,UTI Dividend Yield Fund-Reg(G),15.32,2.17,3.15,0.95,13.92,34.1,9
Nippon India Silver ETF,2022-02-04,46199,22.82,1.23,2.26,1.7,21.5,16.46,1.44,0.08,0.14,1.7,0.09,0.07,17,20,16,16,3,16,Silver,Nippon India Silver ETF,17.09,1.49,2.45,1.02,20.32,41.43,22
Axis Consumption Fund-Reg(G),2024-09-12,49051,,,,,,,,,,,,,,,,,,,Nifty India Consumption - TRI,Axis Consumption Fund-Reg(G),12.34,2.26,3.83,0.65,15.18,42.93,15
SBI Technology Opp Fund-Reg(G),2013-01-07,19247,15.08,2.07,3.94,0.74,16.81,42.03,0.95,0.13,0.25,0.74,0.07,0.17,2,4,5,3,5,5,BSE TECk Index - TRI,SBI Technology Opp Fund-Reg(G),16.13,2.05,3.94,0.78,17.84,43.41,7
Nippon India Dynamic Bond Fund(G),2004-11-15,2656,1.46,3.92,7.82,0.5,3.75,11.52,0.09,0.25,0.49,0.5,0.01,0.05,7,4,4,3,2,3,NIFTY Composite Debt Index,Nippon India Dynamic Bond Fund(G),1.84,3.3,6.1,0.93,1.59,13.86,22
Parag Parikh ELSS Tax Saver Fund-Reg(G),2019-07-24,42577,11.26,2.29,3.5,0.74,11.21,34.68,0.71,0.14,0.22,0.74,0.04,0.14,1,11,7,2,28,16,NIFTY 500 - TRI,Parag Parikh ELSS Tax Saver Fund-Reg(G),14.61,1.97,2.91,0.91,10.82,31.54,59
Invesco India Money Market Fund(G),2009-08-28,7934,0.34,10.04,22.02,0.01,3.33,237.48,0.02,0.63,1.39,0.01,0.01,0.94,22,18,13,6,12,6,Nifty Money Market Index,Invesco India Money Market Fund(G),0.31,10.51,21.91,0.02,3.25,219.97,22
Nippon India Multi Asset Allocation Fund-Reg(G),2020-08-28,26169,9.89,2.67,3.88,1.66,19.98,15.93,0.62,0.17,0.24,1.66,0.08,0.06,11,6,6,13,4,10,BSE 500 - TRI,Nippon India Multi Asset Allocation Fund-Reg(G),8.9,2.41,3.7,1.49,15.76,0.39,17
Tata Hybrid Equity Fund-Reg(G),1995-10-08,3082,10.62,1.98,2.89,1.8,14.11,11.72,0.67,0.12,0.18,1.8,0.06,0.05,40,37,39,46,20,40,CRISIL Hybrid 35+65 - Aggressive Index,Tata Hybrid Equity Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
Edelweiss Small Cap Fund-Reg(G),2019-02-07,40559,15.68,1.95,2.85,0.8,14.94,38.3,0.99,0.12,0.18,0.8,0.06,0.15,9,10,6,9,12,9,Nifty Smallcap 250 - TRI,Edelweiss Small Cap Fund-Reg(G),16.44,1.9,2.74,0.83,15.09,37.85,24
DSP Savings Fund-Reg(G),1999-09-30,695,0.32,10.4,21.24,0.02,3.2,149.46,0.02,0.66,1.34,0.02,0.01,0.59,8,15,17,22,15,22,CRISIL Money Market Index,DSP Savings Fund-Reg(G),0.31,10.51,21.91,0.02,3.25,219.97,22
NJ Balanced Advantage Fund-Reg(G),2021-10-29,45927,9.05,2.02,3.02,1.4,12.85,13.05,0.57,0.13,0.19,1.4,0.05,0.05,27,36,33,27,28,33,NIFTY 50 Hybrid Composite Debt 50:50 Index,NJ Balanced Advantage Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
