MF Code,schemecode,fund_house,returns_1month,returns_3month,returns_6month,returns_1year,index_name,returns_3year,returns_5year,returns_10year,ytd_returns,rank_ytd,rank_1month,rank_3month,rank_6month,rank_1year,rank_3year,rank_5year,rank_10year,s_name,classification,funds_num_ytd,funds_num_month1,funds_num_month3,funds_num_month6,funds_num_year1,funds_num_year3,funds_num_year5,funds_num_year10,ytd_avg,avg_month1,avg_month3,avg_month6,avg_year1,avg_year3,avg_year5,avg_year10,monthret_1,monthret_3,monthret_6,yrret_1,yrret_3,yrret_5,yrret_10,ytdret
SBI Nifty Index Fund-Reg(G),2782,SBI Mutual Fund,-3.05,0.74,13.13,20.92,NIFTY 50 - TRI,14.61,14.62,12.66,1.64,81,92,70,77,71,26,16,10,SBI Nifty Index Fund-Reg(G),Equity : Index Funds,106,116,109,104,91,40,23,18,7.19,-1.6,2.3,20.96,39.07,17.53,15.63,13.07,,,,,,,,
Aditya Birla SL Short Term Fund(G),287,Aditya Birla Sun Life Mutual Fund,0.52,1.65,3.68,6.65,Nifty Short Duration Debt Index,5.44,6.89,7.59,2.53,9,8,9,7,6,5,3,3,Aditya Birla SL Short Term Fund(G),Debt : Short Duration,26,27,26,26,26,22,21,19,2.36,0.48,1.55,3.4,6.26,5.4,5.86,6.85,,,,,,,,
Motilal Oswal Nasdaq 100 ETF,13397,Motilal Oswal Mutual Fund,-0.01,1.41,19.51,39.06,Nasdaq-100,14.56,23.29,21.38,7.92,51,34,77,53,45,56,4,1,Motilal Oswal Nasdaq 100 ETF,Equity : ETFs,141,149,145,141,129,76,56,23,5.93,-1.65,2.08,18.87,34.31,17.92,16.84,13.52,-0.31,0.84,19.26,37.21,9.68,19.0,17.38,27.05
Tata Large & Mid Cap Fund-Reg(G),3096,Tata Mutual Fund,-1.34,3.14,16.06,28.9,NIFTY LargeMidcap 250 - TRI,18.93,18.92,16.2,6.33,19,18,17,21,25,18,14,10,Tata Large & Mid Cap Fund-Reg(G),Equity : Large & Mid Cap,27,29,27,26,26,26,22,18,8.15,-1.05,3.59,19.73,37.92,20.41,19.49,16.87,,,,,,,,
Aditya Birla SL Balanced Advantage Fund(G),1713,Aditya Birla Sun Life Mutual Fund,-0.56,2.7,10.75,18.75,CRISIL Hybrid 50+50 - Moderate Index,11.13,11.99,11.47,3.78,20,11,11,16,19,12,6,5,Aditya Birla SL Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,30,32,30,28,26,20,17,10,4.74,-0.98,1.92,12.42,22.6,11.89,11.84,11.2,,,,,,,,
Nippon India Pharma Fund(G),2659,Nippon India Mutual Fund,-2.87,-2.33,16.74,46.84,S&P BSE Health Care - TRI,13.8,23.18,16.66,7.92,12,6,15,11,6,5,5,1,Nippon India Pharma Fund(G),Equity : Sectoral - Pharma,14,16,16,13,11,9,8,3,9.29,-3.18,-1.07,18.71,45.87,13.67,22.93,15.18,-2.8,-0.6,20.28,49.81,12.88,21.09,15.3,27.3
ICICI Pru Credit Risk Fund(G),12456,ICICI Prudential Mutual Fund,0.4,1.53,3.85,7.39,CRISIL Credit Risk Debt Index,6.45,7.56,7.94,2.81,5,13,14,3,4,7,1,2,ICICI Pru Credit Risk Fund(G),Debt : Credit Risk,15,15,15,15,15,15,15,8,2.71,0.51,1.74,3.65,7.38,8.83,5.02,6.68,,,,,,,,
360 ONE Focused Equity Fund-Reg(G),30046,360 ONE Mutual Fund,-0.77,4.83,18.5,33.45,S&P BSE 500 - TRI,20.49,22.06,,7.36,17,13,7,19,22,10,4,,360 ONE Focused Equity Fund-Reg(G),Equity : Multi Cap,37,38,38,37,33,23,16,13,6.78,-1.31,2.94,18.36,37.08,19.32,19.98,16.46,-2.04,2.73,18.88,33.21,18.54,18.57,12.44,15.0
Bandhan Flexi Cap Fund-Reg(G),2906,Bandhan Mutual Fund,-1.34,4.39,16.13,31.64,S&P BSE 500 - TRI,16.77,15.1,14.49,4.98,32,22,15,29,26,17,20,15,Bandhan Flexi Cap Fund-Reg(G),Equity : Flexi Cap,46,47,47,45,41,29,26,19,7.05,-1.34,3.22,18.38,34.82,18.28,17.63,15.92,-2.04,2.73,18.88,33.21,18.54,18.57,12.44,15.0
Tata Small Cap Fund-Reg(G),35242,Tata Mutual Fund,1.31,5.89,17.37,39.8,Nifty Smallcap 250 - TRI,28.37,27.38,,9.23,5,1,1,8,18,6,6,,Tata Small Cap Fund-Reg(G),Equity : Small Cap,27,27,27,26,24,22,19,11,6.04,-0.42,1.29,15.8,44.82,26.07,26.68,21.23,,,,,,,,
Quant Mid Cap Fund(G),887,Quant Mutual Fund,0.57,5.93,31.84,64.03,Nifty Midcap 150 - TRI,32.09,32.88,20.21,19.84,1,8,6,1,1,2,1,6,Quant Mid Cap Fund(G),Equity : Mid Cap,30,30,30,30,30,25,22,20,9.15,-0.19,4.03,20.09,45.99,23.47,23.27,19.62,,,,,,,,
Aditya Birla SL Overnight Fund-Reg(G),41518,Aditya Birla Sun Life Mutual Fund,0.53,1.6,3.3,6.69,CRISIL Liquid Overnight Index,5.18,4.65,,2.33,30,22,17,24,20,16,11,,Aditya Birla SL Overnight Fund-Reg(G),Debt : Overnight,35,35,35,35,32,27,15,3,2.35,0.52,1.6,3.3,6.69,5.19,4.67,5.75,,,,,,,,
HDFC Index Fund-S&P BSE Sensex(G)(Post Addendum),12635,HDFC Mutual Fund,-3.06,1.12,11.71,18.31,S&P BSE SENSEX - TRI,14.57,14.77,13.06,0.82,92,103,53,88,84,28,13,6,HDFC Index Fund-S&P BSE Sensex(G)(Post Addendum),Equity : Index Funds,106,116,109,104,91,40,23,18,7.19,-1.6,2.3,20.96,39.07,17.53,15.63,13.07,-2.97,1.73,12.37,19.06,15.08,15.55,12.12,2.51
Nippon India Flexi Cap Fund-Reg(G),45335,Nippon India Mutual Fund,-0.27,1.83,14.92,34.93,NIFTY 500 - TRI,,,,3.97,37,7,34,35,17,,,,Nippon India Flexi Cap Fund-Reg(G),Equity : Flexi Cap,46,47,47,45,41,29,26,19,7.05,-1.34,3.22,18.38,34.82,18.28,17.63,15.92,,,,,,,,
BHARAT Bond FOF - April 2030 -Reg(G),44426,Edelweiss Mutual Fund,0.15,1.54,4.28,6.35,NIFTY BHARAT Bond Index - April 2030,5.76,,,2.65,46,17,43,45,51,30,,,BHARAT Bond FOF - April 2030 -Reg(G),FoFs : Domestic,53,56,55,53,53,37,25,22,6.12,-0.63,4.24,13.26,21.44,13.55,12.86,11.18,,,,,,,,
HDFC Capital Builder Value Fund(G),1112,HDFC Mutual Fund,-0.92,2.52,20.34,38.34,NIFTY 500 - TRI,20.77,16.98,15.5,7.04,17,7,12,16,14,12,14,12,HDFC Capital Builder Value Fund(G),Equity : Value / Contra,22,22,22,22,21,18,17,14,8.43,-1.4,2.3,22.19,42.83,22.24,19.92,17.38,,,,,,,,
Nippon India Overnight Fund-Reg(G),41900,Nippon India Mutual Fund,0.53,1.61,3.31,6.72,CRISIL Liquid Overnight Index,5.21,4.69,,2.36,10,10,9,11,11,10,5,,Nippon India Overnight Fund-Reg(G),Debt : Overnight,35,35,35,35,32,27,15,3,2.35,0.52,1.6,3.3,6.69,5.19,4.67,5.75,,,,,,,,
Bandhan ELSS Tax Saver Fund-Reg(G),7433,Bandhan Mutual Fund,-2.37,1.23,16.01,32.34,S&P BSE 500 - TRI,20.18,20.35,17.78,5.27,35,55,43,34,34,26,20,4,Bandhan ELSS Tax Saver Fund-Reg(G),Equity : Tax Saving (ELSS),60,60,60,60,59,55,53,27,6.16,-1.15,2.62,17.34,34.5,20.33,19.44,15.78,-2.04,2.73,18.88,33.21,18.54,18.57,12.44,15.0
Nippon India ETF Nifty Bank BeES,267,Nippon India Mutual Fund,-2.57,4.0,8.6,10.68,NIFTY BANK - TRI,13.5,10.47,13.44,-1.5,122,87,41,121,118,61,54,14,Nippon India ETF Nifty Bank BeES,Equity : ETFs,141,149,145,141,129,76,56,23,5.93,-1.65,2.08,18.87,34.31,17.92,16.84,13.52,,,,,,,,
Sundaram Large and Mid Cap Fund(G),2947,Sundaram Mutual Fund,-0.69,3.94,17.81,32.99,NIFTY LargeMidcap 250 - TRI,19.45,17.32,16.61,6.25,20,7,12,17,19,15,19,8,Sundaram Large and Mid Cap Fund(G),Equity : Large & Mid Cap,27,29,27,26,26,26,22,18,8.15,-1.05,3.59,19.73,37.92,20.41,19.49,16.87,,,,,,,,
Franklin India ELSS Tax Saver Fund(G),957,Franklin Templeton Mutual Fund,-1.22,3.95,19.81,40.81,NIFTY 500 - TRI,21.47,18.23,16.21,7.69,21,33,21,22,12,20,28,9,Franklin India ELSS Tax Saver Fund(G),Equity : Tax Saving (ELSS),60,60,60,60,59,55,53,27,6.16,-1.15,2.62,17.34,34.5,20.33,19.44,15.78,,,,,,,,
ICICI Pru Medium Term Bond Fund(G),1667,ICICI Prudential Mutual Fund,0.57,1.66,3.6,6.6,NIFTY Medium Duration Debt Index,5.7,7.33,7.69,2.51,20,7,11,26,12,4,3,4,ICICI Pru Medium Term Bond Fund(G),Debt : Medium Duration,30,30,30,30,30,14,13,10,2.57,0.52,1.61,3.72,6.42,5.79,5.57,7.19,,,,,,,,
SBI Magnum Global Fund-Reg(G),2766,SBI Mutual Fund,-2.42,-3.71,1.65,13.72,NIFTY MNC - TRI,12.18,15.68,15.12,-1.35,5,5,5,5,5,3,1,2,SBI Magnum Global Fund-Reg(G),Equity : Thematic - MNC,5,5,5,5,5,4,3,3,4.58,0.35,2.08,10.96,26.06,13.47,13.26,15.01,,,,,,,,
UTI Overnight Fund-Reg(G),3574,UTI Mutual Fund,0.53,1.62,3.33,6.75,CRISIL Liquid Overnight Index,5.23,4.7,5.91,2.37,6,4,7,6,5,3,4,1,UTI Overnight Fund-Reg(G),Debt : Overnight,35,35,35,35,32,27,15,3,2.35,0.52,1.6,3.3,6.69,5.19,4.67,5.75,,,,,,,,
SBI Magnum Medium Duration Fund-Reg(G),2778,SBI Mutual Fund,0.48,1.58,3.58,6.63,NIFTY Medium Duration Debt Index,5.47,7.45,8.5,2.58,17,23,18,27,11,6,2,1,SBI Magnum Medium Duration Fund-Reg(G),Debt : Medium Duration,30,30,30,30,30,14,13,10,2.57,0.52,1.61,3.72,6.42,5.79,5.57,7.19,,,,,,,,
HDFC Banking and PSU Debt Fund-Reg(G),23913,HDFC Mutual Fund,0.48,1.62,3.61,6.68,NIFTY Banking and PSU Debt Index,5.17,6.8,7.53,2.61,12,14,16,10,3,6,8,4,HDFC Banking and PSU Debt Fund-Reg(G),Debt : Banking & PSU,27,27,27,26,26,22,16,15,2.61,0.48,1.63,3.61,6.45,5.03,6.68,7.22,,,,,,,,
PGIM India Flexi Cap Fund-Reg(G),31642,PGIM India Mutual Fund,-3.15,1.84,11.77,21.19,NIFTY 500 - TRI,13.08,19.28,,2.86,40,46,33,41,40,28,6,,PGIM India Flexi Cap Fund-Reg(G),Equity : Flexi Cap,46,47,47,45,41,29,26,19,7.05,-1.34,3.22,18.38,34.82,18.28,17.63,15.92,,,,,,,,
HSBC Corporate Bond Fund-Reg(G),631,HSBC Mutual Fund,0.46,1.5,3.66,5.9,NIFTY Corporate Bond Index,4.89,7.47,7.3,2.65,8,17,20,9,21,10,1,8,HSBC Corporate Bond Fund-Reg(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,2.61,0.49,1.66,3.61,6.54,4.99,6.49,7.3,,,,,,,,
Kotak Banking and PSU Debt Fund(G),2044,Kotak Mahindra Mutual Fund,0.46,1.59,3.57,6.62,CRISIL Banking and PSU Debt Index,5.43,7.0,7.51,2.59,14,16,21,17,11,3,3,5,Kotak Banking and PSU Debt Fund(G),Debt : Banking & PSU,27,27,27,26,26,22,16,15,2.61,0.48,1.63,3.61,6.45,5.03,6.68,7.22,,,,,,,,
Aditya Birla SL Pure Value Fund(G),4453,Aditya Birla Sun Life Mutual Fund,-3.16,-0.25,18.06,46.21,NIFTY 500 - TRI,21.16,18.21,16.02,5.16,19,21,20,19,5,10,13,11,Aditya Birla SL Pure Value Fund(G),Equity : Value / Contra,22,22,22,22,21,18,17,14,8.43,-1.4,2.3,22.19,42.83,22.24,19.92,17.38,,,,,,,,
ICICI Pru Midcap Fund(G),1499,ICICI Prudential Mutual Fund,-0.05,4.42,26.68,49.1,Nifty Midcap 150 - TRI,23.68,21.81,19.09,10.93,8,14,12,4,11,9,16,14,ICICI Pru Midcap Fund(G),Equity : Mid Cap,30,30,30,30,30,25,22,20,9.15,-0.19,4.03,20.09,45.99,23.47,23.27,19.62,,,,,,,,
Nippon India Low Duration Fund(G),2621,Nippon India Mutual Fund,0.51,1.8,3.51,6.85,CRISIL Low Duration Debt Index,5.35,5.75,6.84,2.63,9,18,14,13,11,5,9,8,Nippon India Low Duration Fund(G),Debt : Low Duration,20,20,20,20,20,20,20,18,2.63,0.54,1.84,3.54,6.94,5.35,5.41,6.6,,,,,,,,
Kotak Multi Asset Allocation Fund-Reg(G),48028,Kotak Mahindra Mutual Fund,-0.95,3.33,15.73,,NIFTY 500 - TRI,,,,7.21,6,14,14,7,,,,,Kotak Multi Asset Allocation Fund-Reg(G),Hybrid : Multi Asset Allocation,17,24,20,17,12,10,7,7,7.17,-0.76,3.85,14.99,26.35,15.9,17.33,12.85,,,,,,,,
Aditya Birla SL Equity Advantage Fund(G),277,Aditya Birla Sun Life Mutual Fund,-0.81,3.55,14.98,29.94,NIFTY LargeMidcap 250 - TRI,12.75,15.23,14.96,3.63,26,9,15,24,22,26,22,14,Aditya Birla SL Equity Advantage Fund(G),Equity : Large & Mid Cap,27,29,27,26,26,26,22,18,8.15,-1.05,3.59,19.73,37.92,20.41,19.49,16.87,,,,,,,,
Bandhan Arbitrage Fund-Reg(G),2854,Bandhan Mutual Fund,0.49,1.77,3.76,7.53,Nifty 50 Arbitrage,5.47,5.04,5.83,2.85,16,3,14,12,15,11,16,8,Bandhan Arbitrage Fund-Reg(G),Hybrid : Arbitrage,26,26,26,26,24,24,21,10,2.84,0.45,1.74,3.68,7.43,5.32,5.01,5.86,0.34,1.65,3.8,8.03,5.78,5.05,,7.49
Nippon India Ultra Short Duration Fund(G),2615,Nippon India Mutual Fund,0.53,1.86,3.51,6.9,CRISIL Ultra Short Term Debt Index,6.69,5.13,6.01,2.64,12,13,11,13,13,1,12,9,Nippon India Ultra Short Duration Fund(G),Debt : Ultra Short Duration,24,24,24,24,24,24,18,13,2.59,0.54,1.81,3.47,6.84,5.28,5.41,6.41,,,,,,,,
BHARAT Bond ETF - April 2033,47283,Edelweiss Mutual Fund,0.28,1.78,4.71,6.84,NIFTY BHARAT Bond Index - April 2033,,,,3.41,1,24,7,1,5,,,,BHARAT Bond ETF - April 2033,Debt : ETFs,22,26,25,22,17,13,6,1,2.38,0.52,1.55,3.71,6.58,4.85,5.15,5.07,,,,,,,,
Kotak ELSS Tax Saver Fund(G),2075,Kotak Mahindra Mutual Fund,-0.23,7.14,20.59,34.35,NIFTY 500 - TRI,20.2,19.39,17.57,10.9,12,11,3,18,30,24,23,6,Kotak ELSS Tax Saver Fund(G),Equity : Tax Saving (ELSS),60,60,60,60,59,55,53,27,6.16,-1.15,2.62,17.34,34.5,20.33,19.44,15.78,,,,,,,,
Nippon India Banking & Financial Services Fund(G),2445,Nippon India Mutual Fund,-2.89,1.74,9.88,25.39,Nifty Financial Services - TRI,19.63,13.52,14.9,1.07,8,17,12,10,4,1,6,5,Nippon India Banking & Financial Services Fund(G),Equity : Sectoral - Financial Services,18,20,20,17,15,12,11,8,2.13,-2.28,1.6,12.33,22.43,15.37,13.05,14.3,,,,,,,,
Edelweiss Mid Cap Fund-Reg(G),3790,Edelweiss Mutual Fund,-1.87,2.18,20.5,45.28,Nifty Midcap 150 - TRI,24.71,25.37,21.49,8.74,14,29,25,12,15,7,6,3,Edelweiss Mid Cap Fund-Reg(G),Equity : Mid Cap,30,30,30,30,30,25,22,20,9.15,-0.19,4.03,20.09,45.99,23.47,23.27,19.62,,,,,,,,
Nippon India Short Term Fund(G),2664,Nippon India Mutual Fund,0.46,1.67,3.66,6.68,CRISIL Short Duration Debt Index,5.16,6.58,7.21,2.6,5,23,8,8,5,8,5,5,Nippon India Short Term Fund(G),Debt : Short Duration,26,27,26,26,26,22,21,19,2.36,0.48,1.55,3.4,6.26,5.4,5.86,6.85,,,,,,,,
UTI Nifty200 Momentum 30 Index Fund-Reg(G),45342,UTI Mutual Fund,1.78,7.63,36.01,63.49,Nifty200 Momentum 30 - TRI,23.93,,,18.14,17,4,15,17,5,6,,,UTI Nifty200 Momentum 30 Index Fund-Reg(G),Equity : Index Funds,106,116,109,104,91,40,23,18,7.19,-1.6,2.3,20.96,39.07,17.53,15.63,13.07,,,,,,,,
UTI Aggressive Hybrid Fund-Reg(G),3437,UTI Mutual Fund,-0.98,3.23,14.42,28.19,CRISIL Hybrid 35+65 - Aggressive Index,17.57,16.07,13.17,5.62,15,38,12,13,10,5,7,10,UTI Aggressive Hybrid Fund-Reg(G),Hybrid : Equity Oriented,56,56,56,56,55,53,48,24,4.63,-0.58,2.44,11.05,20.48,12.05,12.44,11.93,,,,,,,,
Axis Treasury Advantage Fund-Reg(G),8032,Axis Mutual Fund,0.55,1.9,3.68,7.11,NIFTY Low Duration Debt Index,5.5,6.17,6.98,2.73,3,7,5,2,5,3,2,3,Axis Treasury Advantage Fund-Reg(G),Debt : Low Duration,20,20,20,20,20,20,20,18,2.63,0.54,1.84,3.54,6.94,5.35,5.41,6.6,,,,,,,,
Aditya Birla SL Multi-Cap Fund-Reg(G),45476,Aditya Birla Sun Life Mutual Fund,-1.35,3.19,16.97,33.7,Nifty500 Multicap 50:25:25 - TRI,18.87,,,5.85,24,19,15,26,21,12,,,Aditya Birla SL Multi-Cap Fund-Reg(G),Equity : Multi Cap,37,38,38,37,33,23,16,13,6.78,-1.31,2.94,18.36,37.08,19.32,19.98,16.46,,,,,,,,
Nippon India Banking & PSU Debt Fund(G),13656,Nippon India Mutual Fund,0.45,1.57,3.59,6.47,CRISIL Banking and PSU Debt Index,5.09,6.96,,2.59,15,17,22,14,15,9,6,,Nippon India Banking & PSU Debt Fund(G),Debt : Banking & PSU,27,27,27,26,26,22,16,15,2.61,0.48,1.63,3.61,6.45,5.03,6.68,7.22,,,,,,,,
SBI ESG Exclusionary Strategy Fund-Reg(G),2752,SBI Mutual Fund,-1.25,3.38,14.0,24.64,NIFTY100 ESG - TRI,15.09,15.38,14.3,3.33,46,28,27,44,41,23,14,6,SBI ESG Exclusionary Strategy Fund-Reg(G),Equity : Thematic,56,60,56,53,44,31,14,8,9.35,-1.24,3.39,22.07,40.16,20.48,21.42,16.05,,,,,,,,
Kotak Equity Hybrid Fund(G),31224,Kotak Mahindra Mutual Fund,0.14,3.8,13.97,24.97,NIFTY 50 Hybrid Composite Debt 65:35 Index,15.59,17.05,,6.03,11,7,10,14,14,8,5,,Kotak Equity Hybrid Fund(G),Hybrid : Equity Oriented,56,56,56,56,55,53,48,24,4.63,-0.58,2.44,11.05,20.48,12.05,12.44,11.93,,,,,,,,
HSBC Aggressive Hybrid Fund-Reg(G),13017,HSBC Mutual Fund,-0.15,4.87,15.63,28.46,NIFTY 50 Hybrid Composite Debt 65:35 Index,13.68,13.52,13.47,6.86,9,14,3,10,9,17,17,9,HSBC Aggressive Hybrid Fund-Reg(G),Hybrid : Equity Oriented,56,56,56,56,55,53,48,24,4.63,-0.58,2.44,11.05,20.48,12.05,12.44,11.93,,,,,,,,
Kotak Nifty Bank ETF,30020,Kotak Mahindra Mutual Fund,-2.56,4.0,8.6,10.61,NIFTY BANK - TRI,13.44,10.41,,-1.5,120,81,40,119,121,65,55,,Kotak Nifty Bank ETF,Equity : ETFs,141,149,145,141,129,76,56,23,5.93,-1.65,2.08,18.87,34.31,17.92,16.84,13.52,,,,,,,,
Axis Corp Debt Fund-Reg(G),36744,Axis Mutual Fund,0.46,1.61,3.63,6.57,NIFTY Corporate Bond Index,5.17,6.19,,2.6,11,16,15,11,10,6,15,,Axis Corp Debt Fund-Reg(G),Debt : Corporate Bond,21,21,21,21,21,19,18,12,2.61,0.49,1.66,3.61,6.54,4.99,6.49,7.3,,,,,,,,
SBI Banking & Financial Services Fund-Reg(G),30125,SBI Mutual Fund,-1.18,4.01,17.8,27.84,Nifty Financial Services - TRI,14.46,13.64,,6.4,2,2,1,2,3,7,4,,SBI Banking & Financial Services Fund-Reg(G),Equity : Sectoral - Financial Services,18,20,20,17,15,12,11,8,2.13,-2.28,1.6,12.33,22.43,15.37,13.05,14.3,,,,,,,,
Axis Multicap Fund-Reg(G),45362,Axis Mutual Fund,-1.63,2.63,19.24,43.54,Nifty500 Multicap 50:25:25 - TRI,,,,7.71,13,25,18,15,9,,,,Axis Multicap Fund-Reg(G),Equity : Multi Cap,37,38,38,37,33,23,16,13,6.78,-1.31,2.94,18.36,37.08,19.32,19.98,16.46,,,,,,,,
Aditya Birla SL Midcap Fund(G),417,Aditya Birla Sun Life Mutual Fund,-1.12,3.11,17.26,42.99,Nifty Midcap 150 - TRI,22.45,19.23,17.25,4.84,28,21,19,22,21,16,20,20,Aditya Birla SL Midcap Fund(G),Equity : Mid Cap,30,30,30,30,30,25,22,20,9.15,-0.19,4.03,20.09,45.99,23.47,23.27,19.62,,,,,,,,
UTI ULIP(G),3662,UTI Mutual Fund,-0.55,1.3,5.01,10.28,NIFTY 50 Hybrid Composite Debt 50:50 Index,7.28,7.66,8.56,1.04,1,1,1,1,1,1,1,1,UTI ULIP(G),Hybrid : Debt Oriented (Balanced),1,1,1,1,1,1,1,1,1.04,-0.55,1.29,5.01,10.28,7.28,7.66,8.56,,,,,,,,
Bandhan Low Duration Fund-Reg(G),2902,Bandhan Mutual Fund,0.53,1.81,3.54,6.92,NIFTY Low Duration Debt Index,5.25,5.88,6.98,2.59,15,15,12,10,10,10,8,4,Bandhan Low Duration Fund-Reg(G),Debt : Low Duration,20,20,20,20,20,20,20,18,2.63,0.54,1.84,3.54,6.94,5.35,5.41,6.6,,,,,,,,
Invesco India Large & Mid Cap Fund(G),2235,Invesco Mutual Fund,-0.92,4.3,21.85,43.77,NIFTY LargeMidcap 250 - TRI,20.77,18.49,16.63,11.27,4,11,9,7,5,11,17,7,Invesco India Large & Mid Cap Fund(G),Equity : Large & Mid Cap,27,29,27,26,26,26,22,18,8.15,-1.05,3.59,19.73,37.92,20.41,19.49,16.87,,,,,,,,
Sundaram Liquid Fund(G),2323,Sundaram Mutual Fund,0.55,1.84,3.65,7.2,Nifty Liquid Fund Index,5.51,5.01,5.4,2.64,17,9,15,19,20,19,26,29,Sundaram Liquid Fund(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
HDFC Retirement Savings Fund-Equity Plan-Reg(G),24803,HDFC Mutual Fund,-1.78,2.55,16.94,33.33,NIFTY 500 - TRI,23.73,21.83,,5.98,8,35,13,6,7,3,1,,HDFC Retirement Savings Fund-Equity Plan-Reg(G),Hybrid : Solution Oriented,40,40,40,39,38,37,29,13,4.16,-0.87,2.31,11.62,22.6,13.01,12.24,12.22,,,,,,,,
Nippon India Power & Infra Fund(G),2452,Nippon India Mutual Fund,-0.12,6.08,34.83,68.22,Nifty Infrastructure - TRI,36.59,27.14,18.6,16.78,2,2,2,2,1,1,1,2,Nippon India Power & Infra Fund(G),Equity : Sectoral - Energy / Power,3,4,3,3,3,3,3,2,14.39,-0.03,5.52,32.03,51.33,24.34,24.3,19.38,,,,,,,,
Aditya Birla SL India GenNext Fund(G),409,Aditya Birla Sun Life Mutual Fund,0.11,4.96,13.79,29.86,Nifty India Consumption - TRI,18.84,18.6,18.12,4.44,13,12,9,12,12,10,6,2,Aditya Birla SL India GenNext Fund(G),Equity : Thematic - Consumption,16,17,17,15,13,13,13,8,6.47,0.49,4.69,15.45,33.02,20.37,18.36,16.41,,,,,,,,
ICICI Pru Infrastructure Fund(G),1629,ICICI Prudential Mutual Fund,-1.06,6.34,34.08,59.54,S&P BSE India Infrastructure Index - TRI,38.34,27.97,18.75,16.38,10,12,12,6,9,2,3,10,ICICI Pru Infrastructure Fund(G),Equity : Sectoral - Infrastructure,19,19,19,19,19,19,19,18,15.39,-0.22,6.97,31.24,58.87,31.92,24.85,18.39,,,,,,,,
Bandhan Small Cap Fund-Reg(G),42342,Bandhan Mutual Fund,-0.02,1.83,26.37,66.89,S&P BSE 250 Small Cap - TRI,27.98,,,10.43,2,11,11,2,1,8,,,Bandhan Small Cap Fund-Reg(G),Equity : Small Cap,27,27,27,26,24,22,19,11,6.04,-0.42,1.29,15.8,44.82,26.07,26.68,21.23,-2.01,0.55,19.68,53.2,26.38,24.33,9.19,17.4
BHARAT Bond FOF - April 2025 -Reg(G),45009,Edelweiss Mutual Fund,0.55,2.02,3.79,7.09,NIFTY BHARAT Bond Index - April 2025,5.06,,,2.73,44,7,31,49,41,36,,,BHARAT Bond FOF - April 2025 -Reg(G),FoFs : Domestic,53,56,55,53,53,37,25,22,6.12,-0.63,4.24,13.26,21.44,13.55,12.86,11.18,,,,,,,,
Bandhan CRISIL IBX Gilt April 2028 Index Fund-Reg(G),45422,Bandhan Mutual Fund,0.5,1.49,3.71,6.29,CRISIL IBX Gilt Index - April 2028,4.9,,,2.28,34,32,13,31,23,8,,,Bandhan CRISIL IBX Gilt April 2028 Index Fund-Reg(G),Debt : Gilt,35,35,35,35,35,23,21,21,2.87,0.58,1.3,4.25,6.38,4.75,6.74,7.82,,,,,,,,
HDFC Dividend Yield Fund-Reg(G),45197,HDFC Mutual Fund,-1.85,1.09,19.98,40.16,NIFTY 500 - TRI,25.82,,,5.96,8,7,7,8,4,2,,,HDFC Dividend Yield Fund-Reg(G),Equity : Thematic - Dividend Yield,9,9,9,9,9,7,6,4,8.55,-1.21,2.25,22.83,40.97,23.44,20.7,15.88,,,,,,,,
ICICI Pru Nifty Next 50 Index Fund(G),11889,ICICI Prudential Mutual Fund,0.93,10.39,38.76,57.18,NIFTY NEXT 50 - TRI,20.93,18.79,16.33,18.86,15,13,3,4,13,9,3,1,ICICI Pru Nifty Next 50 Index Fund(G),Equity : Index Funds,106,116,109,104,91,40,23,18,7.19,-1.6,2.3,20.96,39.07,17.53,15.63,13.07,,,,,,,,
UTI Arbitrage Fund-Reg(G),3660,UTI Mutual Fund,0.49,1.84,3.85,7.69,Nifty 50 Arbitrage,5.55,5.23,5.92,2.97,4,4,3,3,5,7,5,5,UTI Arbitrage Fund-Reg(G),Hybrid : Arbitrage,26,26,26,26,24,24,21,10,2.84,0.45,1.74,3.68,7.43,5.32,5.01,5.86,0.34,1.65,3.8,8.03,5.78,5.05,,7.49
HDFC Gold ETF,12319,HDFC Mutual Fund,-0.6,13.63,18.2,14.81,Gold-India,13.3,16.43,8.88,15.23,6,25,25,11,13,10,9,3,HDFC Gold ETF,Gold : ETFs,25,28,27,23,21,11,11,11,14.59,-0.14,14.72,17.4,12.18,13.41,16.58,8.82,,,,,,,,
Aditya Birla SL Small Cap Fund(G),477,Aditya Birla Sun Life Mutual Fund,-0.73,1.31,12.24,40.16,S&P BSE 250 Small Cap - TRI,18.71,17.92,16.75,3.91,18,18,12,20,17,22,19,11,Aditya Birla SL Small Cap Fund(G),Equity : Small Cap,27,27,27,26,24,22,19,11,6.04,-0.42,1.29,15.8,44.82,26.07,26.68,21.23,-2.01,0.55,19.68,53.2,26.38,24.33,9.19,17.4
SBI Equity Savings Fund-Reg(G),32901,SBI Mutual Fund,-0.23,1.44,7.12,17.88,NIFTY 50 Equity Savings Index,10.29,10.79,,3.85,32,19,45,46,32,33,31,,SBI Equity Savings Fund-Reg(G),Hybrid : Equity Oriented,56,56,56,56,55,53,48,24,4.63,-0.58,2.44,11.05,20.48,12.05,12.44,11.93,,,,,,,,
